date,1#铜,A00铝,1#白银,铝合金ADC12,铸造铝合金锭(ZLD104)
2021-07-01,68750.0,18710.0,5400.0,17500.0,
2021-07-02,68120.0,18660.0,5380.0,17500.0,
2021-07-05,68650.0,19090.0,5485.0,17600.0,
2021-07-06,69870.0,19100.0,5485.0,17700.0,
2021-07-07,68610.0,18850.0,5410.0,17700.0,
2021-07-08,68930.0,18810.0,5375.0,17700.0,
2021-07-09,68700.0,18860.0,5370.0,17700.0,
2021-07-12,69550.0,19040.0,5420.0,17900.0,
2021-07-13,69530.0,19170.0,5440.0,18000.0,
2021-07-14,68870.0,19120.0,5375.0,18000.0,
2021-07-15,68970.0,19260.0,5435.0,18200.0,
2021-07-16,69710.0,19410.0,5460.0,18300.0,
2021-07-19,69290.0,19320.0,5295.0,18300.0,
2021-07-20,68410.0,19030.0,5240.0,18300.0,
2021-07-21,68710.0,19090.0,5155.0,18300.0,
2021-07-22,69000.0,19070.0,5255.0,18300.0,
2021-07-23,70220.0,19310.0,5275.0,18400.0,
2021-07-26,71280.0,19620.0,5280.0,18600.0,
2021-07-27,72710.0,19530.0,5235.0,18600.0,
2021-07-28,72390.0,19360.0,5190.0,18600.0,
2021-07-29,71850.0,19490.0,5295.0,18600.0,
2021-07-30,71850.0,19830.0,5340.0,18700.0,
2021-08-02,71850.0,19800.0,5320.0,18700.0,
2021-08-03,71140.0,19780.0,5310.0,18700.0,
2021-08-04,70480.0,19710.0,5355.0,18700.0,
2021-08-05,69780.0,19730.0,5300.0,18700.0,
2021-08-06,69830.0,19920.0,5270.0,18800.0,
2021-08-09,69730.0,19880.0,5060.0,18800.0,
2021-08-10,69600.0,19860.0,5010.0,18800.0,
2021-08-11,70100.0,20060.0,5005.0,18900.0,
2021-08-12,70330.0,20040.0,5060.0,18900.0,
2021-08-13,70330.0,20040.0,5030.0,18900.0,
2021-08-16,70570.0,20230.0,5105.0,19000.0,
2021-08-17,70080.0,20220.0,5095.0,19100.0,
2021-08-18,69210.0,20330.0,5070.0,19100.0,
2021-08-19,67930.0,20090.0,5000.0,19100.0,
2021-08-20,67360.0,20100.0,5000.0,19200.0,
2021-08-23,68380.0,20370.0,4970.0,19300.0,
2021-08-24,69090.0,20390.0,5055.0,19500.0,
2021-08-25,69800.0,20580.0,5060.0,19600.0,
2021-08-26,69450.0,20520.0,5080.0,19700.0,
2021-08-27,69210.0,20640.0,5025.0,19800.0,
2021-08-30,70130.0,21030.0,5125.0,20200.0,
2021-08-31,70440.0,21240.0,5110.0,20600.0,
2021-09-01,69970.0,21140.0,5100.0,20600.0,
2021-09-02,69530.0,21220.0,5135.0,20700.0,
2021-09-03,69530.0,21330.0,5100.0,20800.0,
2021-09-06,69870.0,21630.0,5255.0,21100.0,
2021-09-07,69710.0,21700.0,5270.0,21200.0,
2021-09-08,69390.0,21760.0,5185.0,21300.0,
2021-09-09,68990.0,22230.0,5110.0,21700.0,
2021-09-10,70130.0,22660.0,5125.0,22100.0,
2021-09-13,71410.0,23410.0,5060.0,23000.0,
2021-09-14,70610.0,22890.0,5050.0,23000.0,
2021-09-15,69750.0,22240.0,5060.0,22700.0,
2021-09-16,70630.0,22720.0,5060.0,22900.0,
2021-09-17,69780.0,22740.0,4850.0,23200.0,
2021-09-22,69290.0,22810.0,4850.0,23300.0,
2021-09-23,69110.0,23310.0,4820.0,23900.0,
2021-09-24,69250.0,22920.0,4830.0,23700.0,
2021-09-27,70090.0,22930.0,4825.0,23700.0,
2021-09-28,69630.0,22480.0,4815.0,23500.0,
2021-09-29,69110.0,22830.0,4795.0,23500.0,
2021-09-30,68910.0,22640.0,4605.0,23400.0,
2021-10-08,69950.0,22620.0,4775.0,23400.0,
2021-10-11,69990.0,22800.0,4835.0,23400.0,
2021-10-12,70600.0,23220.0,4810.0,23500.0,
2021-10-13,70430.0,23280.0,4780.0,23600.0,
2021-10-14,71790.0,23220.0,4840.0,23400.0,
2021-10-15,74160.0,23640.0,4960.0,23500.0,
2021-10-18,76370.0,24090.0,4940.0,23800.0,
2021-10-19,75860.0,24240.0,4930.0,24000.0,
2021-10-20,73720.0,23100.0,4950.0,23400.0,
2021-10-21,75420.0,23330.0,5065.0,23400.0,
2021-10-22,73370.0,21900.0,4965.0,22400.0,
2021-10-25,72830.0,21660.0,4995.0,22000.0,
2021-10-26,72780.0,20850.0,5000.0,21700.0,
2021-10-27,72100.0,20470.0,4890.0,21300.0,
2021-10-28,70730.0,19340.0,4925.0,20500.0,
2021-10-29,71770.0,20190.0,4900.0,20800.0,
2021-11-01,71370.0,20230.0,4865.0,20800.0,
2021-11-02,71390.0,20100.0,4915.0,20600.0,
