date,1#铜,A00铝,1#白银,铝合金ADC12,铸造铝合金锭(ZLD104)
2021-07-01,60840.707964601774,16557.522123893807,4778.761061946903,15486.725663716816,
2021-07-02,60283.18584070797,16513.274336283186,4761.061946902655,15486.725663716816,
2021-07-05,60752.21238938054,16893.805309734515,4853.982300884956,15575.221238938055,
2021-07-06,61831.85840707965,16902.65486725664,4853.982300884956,15663.716814159294,
2021-07-07,60716.814159292044,16681.41592920354,4787.610619469027,15663.716814159294,
2021-07-08,61000.00000000001,16646.017699115047,4756.637168141593,15663.716814159294,
2021-07-09,60796.46017699115,16690.265486725664,4752.212389380531,15663.716814159294,
2021-07-12,61548.672566371686,16849.557522123894,4796.460176991151,15840.707964601772,
2021-07-13,61530.97345132744,16964.601769911507,4814.159292035399,15929.203539823011,
2021-07-14,60946.90265486726,16920.353982300887,4756.637168141593,15929.203539823011,
2021-07-15,61035.3982300885,17044.24778761062,4809.734513274337,16106.194690265489,
2021-07-16,61690.26548672567,17176.991150442478,4831.858407079647,16194.690265486728,
2021-07-19,61318.58407079647,17097.345132743365,4685.840707964602,16194.690265486728,
2021-07-20,60539.82300884956,16840.70796460177,4637.168141592921,16194.690265486728,
2021-07-21,60805.30973451328,16893.805309734515,4561.946902654868,16194.690265486728,
2021-07-22,61061.946902654876,16876.106194690266,4650.442477876107,16194.690265486728,
2021-07-23,62141.592920353985,17088.49557522124,4668.141592920354,16283.185840707965,
2021-07-26,63079.646017699124,17362.83185840708,4672.566371681416,16460.176991150445,
2021-07-27,64345.13274336284,17283.185840707967,4632.743362831859,16460.176991150445,
2021-07-28,64061.946902654876,17132.74336283186,4592.920353982301,16460.176991150445,
2021-07-29,63584.07079646018,17247.78761061947,4685.840707964602,16460.176991150445,
2021-07-30,63584.07079646018,17548.672566371682,4725.66371681416,16548.672566371682,
2021-08-02,63584.07079646018,17522.12389380531,4707.9646017699115,16548.672566371682,
2021-08-03,62955.75221238939,17504.424778761062,4699.115044247788,16548.672566371682,
2021-08-04,62371.68141592921,17442.477876106197,4738.938053097346,16548.672566371682,
2021-08-05,61752.21238938054,17460.176991150445,4690.265486725664,16548.672566371682,
2021-08-06,61796.46017699115,17628.3185840708,4663.716814159293,16637.168141592923,
2021-08-09,61707.96460176992,17592.920353982303,4477.876106194691,16637.168141592923,
2021-08-10,61592.92035398231,17575.221238938055,4433.628318584071,16637.168141592923,
2021-08-11,62035.3982300885,17752.212389380533,4429.203539823009,16725.66371681416,
2021-08-12,62238.93805309735,17734.513274336285,4477.876106194691,16725.66371681416,
2021-08-13,62238.93805309735,17734.513274336285,4451.327433628319,16725.66371681416,
2021-08-16,62451.32743362832,17902.65486725664,4517.699115044248,16814.1592920354,
2021-08-17,62017.699115044255,17893.805309734515,4508.849557522124,16902.65486725664,
2021-08-18,61247.787610619474,17991.15044247788,4486.725663716815,16902.65486725664,
2021-08-19,60115.04424778761,17778.761061946905,4424.778761061947,16902.65486725664,
2021-08-20,59610.619469026555,17787.61061946903,4424.778761061947,16991.150442477876,
2021-08-23,60513.27433628319,18026.548672566372,4398.230088495576,17079.646017699117,
2021-08-24,61141.592920353985,18044.24778761062,4473.451327433629,17256.637168141595,
2021-08-25,61769.91150442478,18212.389380530974,4477.876106194691,17345.132743362832,
2021-08-26,61460.176991150445,18159.292035398234,4495.575221238939,17433.628318584073,
2021-08-27,61247.787610619474,18265.48672566372,4446.902654867257,17522.12389380531,
2021-08-30,62061.946902654876,18610.61946902655,4535.398230088496,17876.106194690266,
2021-08-31,62336.283185840715,18796.460176991153,4522.12389380531,18230.088495575223,
2021-09-01,61920.35398230089,18707.964601769912,4513.274336283186,18230.088495575223,
2021-09-02,61530.97345132744,18778.761061946905,4544.2477876106195,18318.584070796463,
2021-09-03,61530.97345132744,18876.106194690266,4513.274336283186,18407.0796460177,
2021-09-06,61831.85840707965,19141.592920353985,4650.442477876107,18672.566371681416,
2021-09-07,61690.26548672567,19203.53982300885,4663.716814159293,18761.061946902657,
2021-09-08,61407.07964601771,19256.637168141595,4588.495575221239,18849.557522123894,
2021-09-09,61053.09734513275,19672.566371681416,4522.12389380531,19203.53982300885,
2021-09-10,62061.946902654876,20053.097345132745,4535.398230088496,19557.522123893807,
2021-09-13,63194.69026548673,20716.814159292036,4477.876106194691,20353.982300884956,
2021-09-14,62486.72566371682,20256.637168141595,4469.026548672567,20353.982300884956,
2021-09-15,61725.66371681417,19681.41592920354,4477.876106194691,20088.49557522124,
2021-09-16,62504.424778761066,20106.19469026549,4477.876106194691,20265.48672566372,
2021-09-17,61752.21238938054,20123.893805309737,4292.0353982300885,20530.973451327434,
2021-09-22,61318.58407079647,20185.840707964602,4292.0353982300885,20619.469026548675,
2021-09-23,61159.29203539823,20628.3185840708,4265.486725663717,21150.44247787611,
2021-09-24,61283.18584070797,20283.185840707967,4274.336283185841,20973.45132743363,
2021-09-27,62026.54867256638,20292.03539823009,4269.911504424779,20973.45132743363,
2021-09-28,61619.46902654868,19893.805309734515,4261.061946902655,20796.460176991153,
2021-09-29,61159.29203539823,20203.53982300885,4243.362831858408,20796.460176991153,
2021-09-30,60982.30088495576,20035.398230088496,4075.2212389380534,20707.964601769912,
2021-10-08,61902.65486725664,20017.699115044248,4225.66371681416,20707.964601769912,
2021-10-11,61938.05309734514,20176.991150442478,4278.761061946903,20707.964601769912,
2021-10-12,62477.87610619469,20548.672566371682,4256.637168141593,20796.460176991153,
2021-10-13,62327.43362831859,20601.769911504427,4230.088495575222,20884.95575221239,
2021-10-14,63530.97345132744,20548.672566371682,4283.185840707965,20707.964601769912,
2021-10-15,65628.3185840708,20920.353982300887,4389.380530973452,20796.460176991153,
2021-10-18,67584.07079646019,21318.584070796463,4371.681415929204,21061.94690265487,
2021-10-19,67132.74336283187,21451.32743362832,4362.83185840708,21238.938053097347,
2021-10-20,65238.93805309735,20442.477876106197,4380.530973451328,20707.964601769912,
2021-10-21,66743.36283185841,20646.017699115047,4482.300884955753,20707.964601769912,
2021-10-22,64929.203539823015,19380.53097345133,4393.805309734514,19823.008849557526,
2021-10-25,64451.32743362832,19168.141592920354,4420.353982300885,19469.02654867257,
2021-10-26,64407.07964601771,18451.32743362832,4424.778761061947,19203.53982300885,
2021-10-27,63805.30973451328,18115.044247787613,4327.433628318585,18849.557522123894,
2021-10-28,62592.92035398231,17115.044247787613,4358.407079646018,18141.592920353985,
2021-10-29,63513.27433628319,17867.256637168142,4336.283185840708,18407.0796460177,
2021-11-01,63159.29203539823,17902.65486725664,4305.309734513275,18407.0796460177,
2021-11-02,63176.99115044248,17787.61061946903,4349.557522123894,18230.088495575223,
2021-11-03,62787.61061946903,17539.82300884956,4243.362831858408,18053.097345132745,
2021-11-04,63247.787610619474,17654.86725663717,4283.185840707965,18053.097345132745,
2021-11-05,62415.92920353983,16495.575221238938,4327.433628318585,17345.132743362832,
2021-11-08,62831.85840707965,16681.41592920354,4411.504424778762,17433.628318584073,
2021-11-09,63061.946902654876,16761.061946902657,4424.778761061947,17433.628318584073,
2021-11-10,62646.01769911505,16371.681415929204,4402.654867256638,17168.141592920354,
2021-11-11,62646.01769911505,16628.3185840708,4491.150442477877,17256.637168141595,
2021-11-12,63292.035398230095,17176.991150442478,4579.646017699116,17522.12389380531,
2021-11-15,63398.230088495584,16964.601769911507,4530.973451327434,17433.628318584073,
2021-11-16,63681.41592920355,16761.061946902657,4544.2477876106195,17345.132743362832,
2021-11-17,63008.84955752213,16336.28318584071,4539.823008849558,17168.141592920354,
2021-11-18,62433.62831858408,16221.238938053099,4548.672566371682,17079.646017699117,
2021-11-19,64203.539823008854,16407.0796460177,4500.0,17345.132743362832,
2021-11-22,63805.30973451328,16752.212389380533,4469.026548672567,17345.132743362832,
2021-11-23,64318.58407079647,16964.601769911507,4420.353982300885,17433.628318584073,
