date,month,1#铜,A00铝,1#白银,铝合金ADC12,铸造铝合金锭(ZLD104)
2025-06-02,2025-06,69368.471,17957.208,7265.336,18041.882,18482.341
2025-06-03,2025-06,69400.674,17967.52,7269.613,18032.008,18484.36
2025-06-04,2025-06,69432.892,17977.838,7273.893,18023.315,18490.598
2025-06-05,2025-06,69465.125,17988.161,7278.175,18015.662,18492.11
2025-06-06,2025-06,69497.373,17998.491,7282.459,18008.923,18490.096
2025-06-09,2025-06,69529.636,18008.826,7286.746,18002.988,18488.712
2025-06-10,2025-06,69561.914,18019.168,7291.036,17997.763,18489.025
2025-06-11,2025-06,69594.207,18029.515,7295.328,17993.161,18489.716
2025-06-12,2025-06,69626.515,18039.868,7299.622,17989.108,18489.846
2025-06-13,2025-06,69658.838,18050.227,7303.919,17985.539,18489.609
2025-06-16,2025-06,69691.175,18060.592,7308.219,17982.396,18489.466
2025-06-17,2025-06,69723.528,18070.964,7312.521,17979.628,18489.51
2025-06-18,2025-06,69755.896,18081.341,7316.826,17977.19,18489.586
2025-06-19,2025-06,69788.279,18091.724,7321.133,17975.042,18489.596
2025-06-20,2025-06,69820.677,18102.113,7325.443,17973.151,18489.569
2025-06-23,2025-06,69853.09,18112.508,7329.755,17971.485,18489.554
2025-06-24,2025-06,69885.518,18122.908,7334.07,17970.018,18489.56
2025-06-25,2025-06,69917.961,18133.315,7338.387,17968.726,18489.568
2025-06-26,2025-06,69950.419,18143.728,7342.707,17967.587,18489.569
2025-06-27,2025-06,69982.892,18154.147,7347.029,17966.585,18489.566
2025-06-30,2025-06,70015.381,18164.572,7351.354,17965.701,18489.565
2025-07-01,2025-07,70047.884,18175.003,7355.682,17964.924,18489.565
2025-07-02,2025-07,70080.403,18185.439,7360.012,17964.238,18489.566
2025-07-03,2025-07,70112.936,18195.882,7364.345,17963.635,18489.566
2025-07-04,2025-07,70145.485,18206.331,7368.68,17963.103,18489.566
2025-07-07,2025-07,70178.049,18216.786,7373.017,17962.635,18489.566
2025-07-08,2025-07,70210.627,18227.246,7377.358,17962.222,18489.566
2025-07-09,2025-07,70243.221,18237.713,7381.701,17961.859,18489.566
2025-07-10,2025-07,70275.831,18248.186,7386.046,17961.539,18489.566
2025-07-11,2025-07,70308.455,18258.665,7390.394,17961.257,18489.566
2025-07-14,2025-07,70341.094,18269.15,7394.744,17961.009,18489.566
2025-07-15,2025-07,70373.749,18279.64,7399.098,17960.79,18489.566
2025-07-16,2025-07,70406.419,18290.137,7403.453,17960.598,18489.566
2025-07-17,2025-07,70439.103,18300.64,7407.811,17960.428,18489.566
2025-07-18,2025-07,70471.804,18311.149,7412.172,17960.278,18489.566
2025-07-21,2025-07,70504.519,18321.664,7416.535,17960.147,18489.566
