date,1#铜,A00铝,1#白银,铝合金ADC12,铸造铝合金锭(ZLD104)
2026-06-01,92976.046,21412.276,16240.801,20888.349,21677.314
2026-06-02,93120.457,21399.781,16176.547,20891.197,21689.121
2026-06-03,93265.093,21387.293,16112.547,20893.587,21687.758
2026-06-04,93409.953,21374.813,16048.801,20895.593,21680.154
2026-06-05,93555.038,21362.340,15985.306,20897.277,21683.774
2026-06-08,93700.348,21349.874,15922.063,20898.690,21687.702
2026-06-09,93845.885,21337.415,15859.070,20899.875,21683.835
2026-06-10,93991.647,21324.963,15796.327,20900.870,21682.511
2026-06-11,94137.636,21312.519,15733.831,20901.705,21685.627
2026-06-12,94283.851,21300.082,15671.583,20902.406,21685.432
2026-06-15,94430.294,21287.653,15609.581,20902.994,21683.367
2026-06-16,94576.964,21275.230,15547.825,20903.487,21684.230
2026-06-17,94723.862,21262.815,15486.312,20903.901,21685.339
2026-06-18,94870.988,21250.407,15425.043,20904.248,21684.357
2026-06-19,95018.342,21238.006,15364.017,20904.540,21683.944
2026-06-22,95165.925,21225.613,15303.232,20904.785,21684.763
2026-06-23,95313.738,21213.227,15242.687,20904.990,21684.756
2026-06-24,95461.780,21200.848,15182.382,20905.162,21684.198
2026-06-25,95610.052,21188.476,15122.316,20905.307,21684.400
2026-06-26,95758.555,21176.112,15062.487,20905.428,21684.711
2026-06-29,95907.288,21163.754,15002.895,20905.530,21684.463
2026-06-30,96056.252,21151.404,14943.539,20905.615,21684.337
