date,month,1#铜,A00铝,1#白银,铝合金ADC12,铸造铝合金锭(ZLD104),1#铜_source,A00铝_source,1#白银_source,铝合金ADC12_source,铸造铝合金锭(ZLD104)_source
2026-07-01,2026-07,90504.425,19699.115,12469.027,20707.965,20176.991,actual,actual,actual,actual,actual
2026-07-02,2026-07,90707.965,19946.903,12893.805,20796.46,20353.982,actual,actual,actual,actual,actual
2026-07-03,2026-07,91292.035,20141.593,13415.929,20884.956,20442.478,actual,actual,actual,actual,actual
2026-07-06,2026-07,91522.124,20212.389,13477.876,20973.451,20530.973,actual,actual,actual,actual,actual
2026-07-07,2026-07,91542.472,20159.756,13429.976,20992.439,20512.616,forecast,forecast,forecast,forecast,forecast
2026-07-08,2026-07,91562.824,20107.26,13382.246,21008.137,20531.281,forecast,forecast,forecast,forecast,forecast
2026-07-09,2026-07,91583.181,20054.901,13334.686,21021.115,20536.422,forecast,forecast,forecast,forecast,forecast
2026-07-10,2026-07,91603.542,20002.678,13287.295,21031.843,20522.151,forecast,forecast,forecast,forecast,forecast
2026-07-13,2026-07,91623.908,19950.592,13240.073,21040.709,20524.104,forecast,forecast,forecast,forecast,forecast
2026-07-14,2026-07,91644.279,19898.64,13193.018,21048.036,20532.805,forecast,forecast,forecast,forecast,forecast
2026-07-15,2026-07,91664.654,19846.824,13146.13,21054.091,20528.251,forecast,forecast,forecast,forecast,forecast
2026-07-16,2026-07,91685.033,19795.143,13099.409,21059.095,20524.207,forecast,forecast,forecast,forecast,forecast
2026-07-17,2026-07,91705.417,19743.597,13052.854,21063.23,20528.733,forecast,forecast,forecast,forecast,forecast
2026-07-20,2026-07,91725.806,19692.185,13006.465,21066.646,20529.71,forecast,forecast,forecast,forecast,forecast
2026-07-21,2026-07,91746.199,19640.906,12960.24,21069.469,20526.351,forecast,forecast,forecast,forecast,forecast
2026-07-22,2026-07,91766.597,19589.761,12914.18,21071.801,20526.965,forecast,forecast,forecast,forecast,forecast
2026-07-23,2026-07,91786.999,19538.75,12868.284,21073.728,20528.955,forecast,forecast,forecast,forecast,forecast
2026-07-24,2026-07,91807.406,19487.871,12822.55,21075.319,20527.803,forecast,forecast,forecast,forecast,forecast
2026-07-27,2026-07,91827.817,19437.125,12776.979,21076.635,20526.919,forecast,forecast,forecast,forecast,forecast
2026-07-28,2026-07,91848.233,19386.51,12731.57,21077.721,20528.012,forecast,forecast,forecast,forecast,forecast
2026-07-29,2026-07,91868.653,19336.028,12686.323,21078.619,20528.187,forecast,forecast,forecast,forecast,forecast
2026-07-30,2026-07,91889.078,19285.677,12641.236,21079.361,20527.399,forecast,forecast,forecast,forecast,forecast
2026-07-31,2026-07,91909.507,19235.457,12596.309,21079.973,20527.579,forecast,forecast,forecast,forecast,forecast
2026-08-03,2026-08,91929.941,19185.368,12551.542,21080.479,20528.032,forecast,forecast,forecast,forecast,forecast
2026-08-04,2026-08,91950.38,19135.41,12506.935,21080.898,20527.743,forecast,forecast,forecast,forecast,forecast
2026-08-05,2026-08,91970.823,19085.581,12462.485,21081.243,20527.552,forecast,forecast,forecast,forecast,forecast
2026-08-06,2026-08,91991.271,19035.882,12418.194,21081.528,20527.815,forecast,forecast,forecast,forecast,forecast
2026-08-07,2026-08,92011.723,18986.313,12374.06,21081.764,20527.843,forecast,forecast,forecast,forecast,forecast
2026-08-10,2026-08,92032.179,18936.873,12330.083,21081.959,20527.658,forecast,forecast,forecast,forecast,forecast
2026-08-11,2026-08,92052.641,18887.561,12286.262,21082.12,20527.709,forecast,forecast,forecast,forecast,forecast
2026-08-12,2026-08,92073.106,18838.378,12242.597,21082.253,20527.812,forecast,forecast,forecast,forecast,forecast
2026-08-13,2026-08,92093.577,18789.323,12199.088,21082.363,20527.74,forecast,forecast,forecast,forecast,forecast
2026-08-14,2026-08,92114.052,18740.396,12155.732,21082.453,20527.699,forecast,forecast,forecast,forecast,forecast
2026-08-17,2026-08,92134.531,18691.596,12112.531,21082.528,20527.762,forecast,forecast,forecast,forecast,forecast
2026-08-18,2026-08,92155.015,18642.923,12069.484,21082.59,20527.765,forecast,forecast,forecast,forecast,forecast
2026-08-19,2026-08,92175.504,18594.377,12026.589,21082.641,20527.722,forecast,forecast,forecast,forecast,forecast
2026-08-20,2026-08,92195.997,18545.957,11983.847,21082.684,20527.736,forecast,forecast,forecast,forecast,forecast
2026-08-21,2026-08,92216.494,18497.664,11941.257,21082.719,20527.759,forecast,forecast,forecast,forecast,forecast
2026-08-24,2026-08,92236.997,18449.496,11898.818,21082.747,20527.741,forecast,forecast,forecast,forecast,forecast
2026-08-25,2026-08,92257.503,18401.453,11856.53,21082.771,20527.733,forecast,forecast,forecast,forecast,forecast
2026-08-26,2026-08,92278.015,18353.536,11814.392,21082.791,20527.748,forecast,forecast,forecast,forecast,forecast
2026-08-27,2026-08,92298.531,18305.743,11772.404,21082.807,20527.748,forecast,forecast,forecast,forecast,forecast
2026-08-28,2026-08,92319.051,18258.075,11730.565,21082.821,20527.738,forecast,forecast,forecast,forecast,forecast
2026-08-31,2026-08,92339.576,18210.531,11688.875,21082.832,20527.742,forecast,forecast,forecast,forecast,forecast
2026-09-01,2026-09,92360.106,18163.111,11647.334,21082.841,20527.747,forecast,forecast,forecast,forecast,forecast
2026-09-02,2026-09,92380.64,18115.815,11605.939,21082.849,20527.742,forecast,forecast,forecast,forecast,forecast
2026-09-03,2026-09,92401.179,18068.641,11564.692,21082.855,20527.741,forecast,forecast,forecast,forecast,forecast
2026-09-04,2026-09,92421.722,18021.59,11523.592,21082.86,20527.744,forecast,forecast,forecast,forecast,forecast
2026-09-07,2026-09,92442.27,17974.662,11482.637,21082.864,20527.744,forecast,forecast,forecast,forecast,forecast
2026-09-08,2026-09,92462.822,17927.856,11441.828,21082.868,20527.742,forecast,forecast,forecast,forecast,forecast
2026-09-09,2026-09,92483.379,17881.172,11401.164,21082.871,20527.743,forecast,forecast,forecast,forecast,forecast
2026-09-10,2026-09,92503.941,17834.61,11360.645,21082.873,20527.744,forecast,forecast,forecast,forecast,forecast
2026-09-11,2026-09,92524.507,17788.169,11320.269,21082.875,20527.743,forecast,forecast,forecast,forecast,forecast
