month,1#铜,A00铝,1#白银,铝合金ADC12,铸造铝合金锭(ZLD104)
2025-06,69691.451,18060.702,7308.265,17989.898,18489.12
2025-07,70406.752,18290.27,7403.51,17961.158,18489.566
2025-08,71129.283,18522.712,7499.976,17959.289,18489.566
2025-09,71842.64,18752.757,7595.479,17959.181,18489.566
2025-10,72596.838,18996.563,7696.726,17959.173,18489.566
2025-11,73324.799,19232.449,7794.715,17959.173,18489.566
2025-12,74060.231,19471.332,7893.98,17959.173,18489.566
2026-01,74837.649,19724.456,7999.196,17959.173,18489.566
2026-02,75570.572,19963.661,8098.657,17959.173,18489.566
2026-03,76310.787,20205.813,8199.375,17959.173,18489.566
2026-04,77093.968,20462.623,8306.223,17959.173,18489.566
2026-05,77867.084,20716.738,8411.981,17959.173,18489.566
