model,series,MAE,RMSE,MAPE_%,mean_MAPE_%,mean_RMSE
Naive_last,1#铜,6007.817109144537,6297.149612853821,6.512902942442235,5.722377493755453,2226.8219745119522
Naive_last,A00铝,443.9528023598828,659.6730304183836,2.139441549491405,5.722377493755453,2226.8219745119522
Naive_last,1#白银,1375.442477876106,1741.1678716335384,9.317100705527336,5.722377493755453,2226.8219745119522
Naive_last,铝合金ADC12,864.3067846607671,920.3823458302477,4.122752435357778,5.722377493755453,2226.8219745119522
Naive_last,铸造铝合金锭(ZLD104),1397.492625368732,1515.7370118237707,6.51968983595851,5.722377493755453,2226.8219745119522
Drift_log,1#铜,5272.2231731049405,5561.999804654431,5.713899773012785,6.168519429695062,2207.4810360192832
Drift_log,A00铝,485.7405645340831,706.7924438707176,2.339638856176882,6.168519429695062,2207.4810360192832
Drift_log,1#白银,1672.3202956017624,2224.2223860901313,11.675249779850455,6.168519429695062,2207.4810360192832
Drift_log,铝合金ADC12,940.9107045092591,1003.337672034577,4.488332900409103,6.168519429695062,2207.4810360192832
Drift_log,铸造铝合金锭(ZLD104),1420.116304668104,1541.0528734465606,6.625475839026087,6.168519429695062,2207.4810360192832
Holt_damped_log,1#铜,5934.341134924366,6223.5466718286525,6.432998277211846,5.628249892216721,2185.990262208802
Holt_damped_log,A00铝,443.9528025575615,659.6730306126775,2.1394415504429367,5.628249892216721,2185.990262208802
Holt_damped_log,1#白银,1373.6285440418685,1623.643121836827,8.987350839033047,5.628249892216721,2185.990262208802
Holt_damped_log,铝合金ADC12,851.4957691686529,907.3514726722974,4.061768946985101,5.628249892216721,2185.990262208802
Holt_damped_log,铸造铝合金锭(ZLD104),1397.4926278534615,1515.7370140935557,6.519689847410675,5.628249892216721,2185.990262208802
ARIMA_log,1#铜,6007.817109144552,6297.149612853835,6.512902942442252,5.740529307100754,2225.941095812674
ARIMA_log,A00铝,443.9528023598777,659.6730304183783,2.13944154949138,5.740529307100754,2225.941095812674
ARIMA_log,1#白银,1398.5588688361809,1733.7955425998418,9.40440668283817,5.740529307100754,2225.941095812674
ARIMA_log,铝合金ADC12,881.870684717317,939.4063919189508,4.206593882831674,5.740529307100754,2225.941095812674
ARIMA_log,铸造铝合金锭(ZLD104),1380.0615039151796,1499.6809012723643,6.43930147790029,5.740529307100754,2225.941095812674
VAR_log_returns,1#铜,5405.663373134731,5690.914976390792,5.859321779937106,6.215708765803411,2237.794586897505
VAR_log_returns,A00铝,511.0957150926976,735.500963211017,2.4612153106592216,6.215708765803411,2237.794586897505
VAR_log_returns,1#白银,1669.3811778009488,2215.6508589060804,11.643544538184814,6.215708765803411,2237.794586897505
VAR_log_returns,铝合金ADC12,918.6533679394698,982.7636049522795,4.3827748571424,6.215708765803411,2237.794586897505
VAR_log_returns,铸造铝合金锭(ZLD104),1443.0062396056226,1564.142531027355,6.731687343093511,6.215708765803411,2237.794586897505
