date,1#铜,A00铝,1#白银,铝合金ADC12,铸造铝合金锭(ZLD104)
2026-07-07,91524.59770636636,20212.38937947418,13462.208685315052,20980.724164604228,20530.97345000443
2026-07-08,91527.03419845384,20212.38937947418,13448.052043011434,20987.252913270644,20530.973450003006
2026-07-09,91529.43392882284,20212.38937947418,13434.249375582647,20993.11350275456,20530.97345000162
2026-07-10,91531.79745118954,20212.38937947418,13420.79149657482,20998.374153861794,20530.97345000027
2026-07-13,91534.12531095775,20212.38937947418,13407.669473843032,21003.09615290505,20530.973449998957
2026-07-14,91536.41804534366,20212.38937947418,13394.87462177073,21007.334550527794,20530.97344999768
2026-07-15,91538.67618349704,20212.38937947418,13382.398493760586,21011.138791288173,20530.973449996443
2026-07-16,91540.90024662284,20212.38937947418,13370.23287498587,21014.553280630105,20530.973449995203
2026-07-17,91543.09074809821,20212.38937947418,13358.369775391984,21017.617895281055,20530.973449994
2026-07-20,91545.24819359028,20212.38937947418,13346.801422937986,21020.36844257019,20530.97344999283
2026-07-21,91547.37308117113,20212.38937947418,13335.520257069104,21022.83707365851,20530.9734499917
2026-07-22,91549.46590143091,20212.38937947418,13324.51892241062,21025.052655207266,20530.973449990608
2026-07-23,91551.52713758971,20212.38937947418,13313.790262674856,21027.041103586344,20530.973449989513
2026-07-24,91553.5572656072,20212.38937947418,13303.327314772903,21028.825685335767,20530.973449988454
2026-07-27,91555.5567542918,20212.38937947418,13293.123303123097,21030.427287236133,20530.973449987432
2026-07-28,91557.52606540687,20212.38937947418,13283.171634148646,21031.86465902222,20530.973449986413
2026-07-29,91559.46565377644,20212.38937947418,13273.465890957577,21033.15463147693,20530.973449985428
2026-07-30,91561.37596738868,20212.38937947418,13263.99982819743,21034.31231237729,20530.973449984478
2026-07-31,91563.25744749764,20212.38937947418,13254.76736707867,21035.35126251981,20530.973449983532
2026-08-03,91565.11052872491,20212.38937947418,13245.762590560254,21036.283653833554,20530.97344998262
2026-08-04,91566.93563915792,20212.38937947418,13236.97973869121,21037.12041138961,20530.973449981746
2026-08-05,91568.73320044788,20212.38937947418,13228.413204102546,21037.871340936486,20530.97344998087
2026-08-06,91570.50362790634,20212.38937947418,13220.057527644092,21038.545243427106,20530.97344998003
