date,1#铜,A00铝,1#白银,铝合金ADC12,铸造铝合金锭(ZLD104)
2026-07-07,91542.472,20159.756,13429.976,20992.438,20512.618
2026-07-08,91562.824,20107.260,13382.246,21008.137,20531.283
2026-07-09,91583.181,20054.901,13334.686,21021.114,20536.422
2026-07-10,91603.542,20002.678,13287.295,21031.842,20522.152
2026-07-13,91623.908,19950.592,13240.073,21040.708,20524.105
2026-07-14,91644.279,19898.640,13193.018,21048.035,20532.806
2026-07-15,91664.654,19846.824,13146.130,21054.090,20528.252
2026-07-16,91685.033,19795.143,13099.409,21059.094,20524.208
2026-07-17,91705.417,19743.597,13052.854,21063.228,20528.734
2026-07-20,91725.806,19692.185,13006.465,21066.644,20529.711
2026-07-21,91746.199,19640.906,12960.240,21069.467,20526.352
2026-07-22,91766.597,19589.761,12914.180,21071.799,20526.966
2026-07-23,91786.999,19538.750,12868.284,21073.726,20528.956
2026-07-24,91807.406,19487.871,12822.550,21075.318,20527.804
2026-07-27,91827.817,19437.125,12776.979,21076.633,20526.920
2026-07-28,91848.233,19386.510,12731.570,21077.719,20528.013
2026-07-29,91868.653,19336.028,12686.323,21078.617,20528.188
2026-07-30,91889.078,19285.677,12641.236,21079.359,20527.400
2026-07-31,91909.507,19235.457,12596.309,21079.971,20527.580
2026-08-03,91929.941,19185.368,12551.542,21080.477,20528.033
2026-08-04,91950.380,19135.410,12506.935,21080.896,20527.744
2026-08-05,91970.823,19085.581,12462.485,21081.241,20527.553
2026-08-06,91991.271,19035.882,12418.194,21081.526,20527.816
