date,1#铜,A00铝,1#白银,铝合金ADC12,铸造铝合金锭(ZLD104)
2026-07-07,91522.12389380527,20212.389380530993,13477.876106194699,20989.331070299144,20540.532086234056
2026-07-08,91522.12389380527,20212.389380530993,13477.876106194699,21002.174167127243,20541.562338100553
2026-07-09,91522.12389380527,20212.389380530993,13477.876106194699,21013.52148504693,20541.673355499883
2026-07-10,91522.12389380527,20212.389380530993,13477.876106194699,21023.567027356483,20541.68531816442
2026-07-13,91522.12389380527,20212.389380530993,13477.876106194699,21032.460012600204,20541.68660719624
2026-07-14,91522.12389380527,20212.389380530993,13477.876106194699,21040.332276830162,20541.686746095274
2026-07-15,91522.12389380527,20212.389380530993,13477.876106194699,21047.300656972744,20541.68676106226
2026-07-16,91522.12389380527,20212.389380530993,13477.876106194699,21053.468685483364,20541.68676267502
2026-07-17,91522.12389380527,20212.389380530993,13477.876106194699,21058.928090401223,20541.686762848818
2026-07-20,91522.12389380527,20212.389380530993,13477.876106194699,21063.76012942903,20541.686762867535
2026-07-21,91522.12389380527,20212.389380530993,13477.876106194699,21068.036775817192,20541.686762869544
2026-07-22,91522.12389380527,20212.389380530993,13477.876106194699,21071.82177195138,20541.686762869762
2026-07-23,91522.12389380527,20212.389380530993,13477.876106194699,21075.17156495949,20541.6867628698
2026-07-24,91522.12389380527,20212.389380530993,13477.876106194699,21078.136137203604,20541.6867628698
2026-07-27,91522.12389380527,20212.389380530993,13477.876106194699,21080.759743196162,20541.6867628698
2026-07-28,91522.12389380527,20212.389380530993,13477.876106194699,21083.081563272473,20541.6867628698
2026-07-29,91522.12389380527,20212.389380530993,13477.876106194699,21085.136283257605,20541.6867628698
2026-07-30,91522.12389380527,20212.389380530993,13477.876106194699,21086.954608376815,20541.6867628698
2026-07-31,91522.12389380527,20212.389380530993,13477.876106194699,21088.563718767688,20541.6867628698
2026-08-03,91522.12389380527,20212.389380530993,13477.876106194699,21089.987673150907,20541.6867628698
2026-08-04,91522.12389380527,20212.389380530993,13477.876106194699,21091.247766497785,20541.6867628698
2026-08-05,91522.12389380527,20212.389380530993,13477.876106194699,21092.362846888584,20541.6867628698
2026-08-06,91522.12389380527,20212.389380530993,13477.876106194699,21093.34959618016,20541.6867628698
