series,model,MAE,RMSE,MAPE_%,future_range_%,passes_nonflat_rule
1#铜,Rolling_log_drift_120d,3404.023075,3871.548319,3.685922,0.490372,True
1#铜,Rolling_log_drift_252d,4161.709941,4527.838933,4.507643,2.450907,True
1#铜,"ARIMA_log(2, 1, 1)_trend_t",5185.253185,5477.643235,5.619352,0.758945,True
1#铜,"ARIMA_log(1, 1, 0)_trend_t",5215.996065,5507.346049,5.652786,0.745343,True
1#铜,"ARIMA_log(0, 1, 0)_trend_t",5218.856995,5509.922373,5.655933,0.749932,True
1#铜,"ARIMA_log(0, 1, 1)_trend_t",5223.901453,5515.047359,5.661374,0.740014,True
1#铜,"ARIMA_log(2, 1, 0)_trend_t",5224.074726,5515.173650,5.661578,0.741206,True
1#铜,Global_log_drift,5227.467016,5518.311295,5.665285,0.743566,True
1#铜,Holt_log_damped_False,5227.481816,5518.325720,5.665301,0.743578,True
1#铜,"ARIMA_log(1, 1, 1)_trend_t",5245.634074,5536.022480,5.685019,0.738605,True
1#铜,"ARIMA_log(2, 1, 2)_trend_t",5266.518917,5556.601405,5.707680,0.708890,True
1#铜,"ARIMA_log(1, 1, 2)_trend_t",5270.911810,5560.944270,5.712445,0.702265,True
1#铜,"ARIMA_log(0, 1, 2)_trend_t",5272.470266,5562.439189,5.714141,0.701530,True
1#铜,Rolling_log_drift_60d,7737.881687,8111.392447,8.392069,2.068304,True
1#铜,Rolling_log_drift_40d,8880.555877,9347.000415,9.633196,0.610968,True
1#铜,Rolling_log_drift_20d,12321.696397,13143.787026,13.370708,0.953880,True
1#铜,Holt_log_damped_True,5981.962713,6271.291882,6.484783,0.037921,False
1#铜,"ARIMA_log(1, 1, 0)_trend_n",5999.040787,6288.774805,6.503326,0.000167,False
1#铜,"ARIMA_log(2, 1, 2)_trend_n",5999.251954,6288.953177,6.503559,0.004797,False
1#铜,"ARIMA_log(0, 1, 1)_trend_n",5999.278129,6289.003491,6.503585,0.000000,False
1#铜,"ARIMA_log(1, 1, 2)_trend_n",6002.623741,6292.287306,6.507229,0.001766,False
1#铜,"ARIMA_log(0, 1, 2)_trend_n",6002.866014,6292.495381,6.507495,0.001887,False
1#铜,"ARIMA_log(2, 1, 0)_trend_n",6003.868175,6293.460320,6.508588,0.002408,False
1#铜,"ARIMA_log(0, 1, 0)_trend_n",6007.817109,6297.149613,6.512903,0.000000,False
1#铜,"ARIMA_log(1, 1, 1)_trend_n",6008.008881,6297.331628,6.513112,0.000403,False
1#铜,"ARIMA_log(2, 1, 1)_trend_n",6015.484691,6304.417239,6.521274,0.000491,False
A00铝,"ARIMA_log(2, 1, 1)_trend_n",442.868187,658.536556,2.134206,0.186544,True
A00铝,Rolling_log_drift_20d,455.620624,672.646512,2.195340,5.560323,True
A00铝,"ARIMA_log(2, 1, 2)_trend_t",556.552242,788.199914,2.678484,0.331789,True
