series,forecast_date,horizon,hybrid_predicted_price,ensemble_predicted_price,monthly_anchor,remaining_month_target,anchor_adjustment,anchor_source,p10,p90,p05,p95,model_version,selected_predicted_price,selected_model
1#铜,2026-08-27,1,97059.76375917552,96964.602,96430.42289608938,100771.07236702096,95.16175917552391,tax_exclusive_monthly_future_prediction,95961.53375917552,98351.79875917552,95535.86975917552,98707.55075917552,daily-hybrid-variable-anchor-v1,97059.76375917552,Hybrid_variable_anchor
1#铜,2026-08-28,2,97154.92551835105,96964.602,96430.42289608938,100771.07236702096,190.32351835104782,tax_exclusive_monthly_future_prediction,95736.34151835105,98664.65951835105,94484.12851835103,99554.48251835105,daily-hybrid-variable-anchor-v1,97154.92551835105,Hybrid_variable_anchor
1#铜,2026-08-31,3,97250.08727752657,96964.602,96430.42289608938,100771.07236702096,285.48527752657174,tax_exclusive_monthly_future_prediction,95372.21127752657,98827.96327752658,94341.68027752658,99837.69727752657,daily-hybrid-variable-anchor-v1,97250.08727752657,Hybrid_variable_anchor
1#铜,2026-09-01,4,97062.97379060427,96964.602,98396.64336058823,98396.64336058823,98.3717906042788,tax_exclusive_monthly_future_prediction,94917.84079060427,99048.81379060427,93889.07979060427,99890.40679060428,daily-hybrid-variable-anchor-v1,97062.97379060427,Hybrid_variable_anchor
1#铜,2026-09-02,5,97087.56673825535,96964.602,98396.64336058823,98396.64336058823,122.9647382553485,tax_exclusive_monthly_future_prediction,94853.93773825535,99454.82273825535,93131.81473825536,100652.61073825535,daily-hybrid-variable-anchor-v1,97087.56673825535,Hybrid_variable_anchor
1#铜,2026-09-03,6,97112.15968590642,96964.602,98396.64336058823,98396.64336058823,147.5576859064182,tax_exclusive_monthly_future_prediction,94401.53968590642,99635.16868590642,93725.87668590642,101123.66368590642,daily-hybrid-variable-anchor-v1,97112.15968590642,Hybrid_variable_anchor
1#铜,2026-09-04,7,97136.75263355748,96964.602,98396.64336058823,98396.64336058823,172.15063355748788,tax_exclusive_monthly_future_prediction,94348.25663355748,100101.35463355748,93100.91163355748,101184.53963355748,daily-hybrid-variable-anchor-v1,97136.75263355748,Hybrid_variable_anchor
1#铜,2026-09-07,8,97161.34558120856,96964.602,98396.64336058823,98396.64336058823,196.7435812085576,tax_exclusive_monthly_future_prediction,94451.61058120856,100610.01758120857,93379.04458120857,101228.15958120856,daily-hybrid-variable-anchor-v1,97161.34558120856,Hybrid_variable_anchor
1#铜,2026-09-08,9,97185.93852885962,96964.602,98396.64336058823,98396.64336058823,221.3365288596273,tax_exclusive_monthly_future_prediction,94481.51352885962,100692.13252885963,93131.95552885963,101969.56652885962,daily-hybrid-variable-anchor-v1,97185.93852885962,Hybrid_variable_anchor
1#铜,2026-09-09,10,97210.53147651069,96964.602,98396.64336058823,98396.64336058823,245.929476510697,tax_exclusive_monthly_future_prediction,93944.15947651069,100861.85847651071,92788.84947651069,102009.64647651071,daily-hybrid-variable-anchor-v1,97210.53147651069,Hybrid_variable_anchor
1#铜,2026-09-10,11,97235.12442416177,96964.602,98396.64336058823,98396.64336058823,270.5224241617667,tax_exclusive_monthly_future_prediction,94489.99142416177,101331.58442416177,92519.19542416176,102089.99142416177,daily-hybrid-variable-anchor-v1,97235.12442416177,Hybrid_variable_anchor
1#铜,2026-09-11,12,97259.71737181283,96964.602,98396.64336058823,98396.64336058823,295.1153718128364,tax_exclusive_monthly_future_prediction,94445.55737181283,101274.76137181283,92266.35437181283,102523.87637181283,daily-hybrid-variable-anchor-v1,97259.71737181283,Hybrid_variable_anchor
1#铜,2026-09-14,13,97284.31031946391,96964.602,98396.64336058823,98396.64336058823,319.7083194639061,tax_exclusive_monthly_future_prediction,94075.4603194639,101863.07131946391,92525.90331946392,102667.05331946391,daily-hybrid-variable-anchor-v1,97284.31031946391,Hybrid_variable_anchor
1#铜,2026-09-15,14,97308.90326711498,96964.602,98396.64336058823,98396.64336058823,344.30126711497576,tax_exclusive_monthly_future_prediction,93909.78826711497,102036.33626711498,92334.12426711498,103061.55826711498,daily-hybrid-variable-anchor-v1,97308.90326711498,Hybrid_variable_anchor
