月份,制造业PMI,制造业PMI同比增长,非制造业PMI,非制造业PMI同比增长,房地产开发景气指数,房地产开发景气指数环比,房地产开发景气指数近1年涨跌幅,工业增加值同比增长,工业增加值累计增长,PPI当月指数,PPI当月同比增长,PPI累计指数,当月出口额,当月出口额同比增长,当月出口额环比增长,当月进口额,当月进口额同比增长,当月进口额环比增长,企业商品价格总指数,企业商品价格总指数同比增长,企业商品价格总指数环比增长,企业商品价格矿产品指数,企业商品价格矿产品同比增长,企业商品价格矿产品环比增长,企业商品价格煤油电指数,企业商品价格煤油电同比增长,企业商品价格煤油电环比增长
1998-01-01,,,,,98.6,,,,,,,,,,,,,,,,,,,,,,
1998-02-01,,,,,98.99,0.39553753,,,,,,,,,,,,,,,,,,,,,
1998-03-01,,,,,99.05,0.06061218,,,,,,,,,,,,,,,,,,,,,
1998-04-01,,,,,100.81,1.77688036,,,,,,,,,,,,,,,,,,,,,
1998-05-01,,,,,101.68,0.86300962,,,,,,,,,,,,,,,,,,,,,
1998-06-01,,,,,102.94,1.23918175,,,,,,,,,,,,,,,,,,,,,
1998-07-01,,,,,103.75,0.78686614,,,,,,,,,,,,,,,,,,,,,
1998-08-01,,,,,103.94,0.18313253,,,,,,,,,,,,,,,,,,,,,
1998-09-01,,,,,103.45,-0.47142582,,,,,,,,,,,,,,,,,,,,,
1998-10-01,,,,,103.61,0.15466409,,,,,,,,,,,,,,,,,,,,,
1998-11-01,,,,,103.72,0.10616736,,,,,,,,,,,,,,,,,,,,,
1998-12-01,,,,,103.63,-0.08677208,,,,,,,,,,,,,,,,,,,,,
1999-01-01,,,,,104.8,1.12901669,6.28803245,,,,,,,,,,,,,,,,,,,,
1999-02-01,,,,,104.88,0.07633588,5.95009597,,,,,,,,,,,,,,,,,,,,
1999-03-01,,,,,104.39,-0.46720061,5.39121656,,,,,,,,,,,,,,,,,,,,
1999-04-01,,,,,103.89,-0.47897308,3.05525246,,,,,,,,,,,,,,,,,,,,
1999-05-01,,,,,103.28,-0.5871595,1.57356412,,,,,,,,,,,,,,,,,,,,
1999-06-01,,,,,102.21,-1.03601859,-0.70915096,,,,,,,,,,,,,,,,,,,,
1999-07-01,,,,,101.65,-0.5478916,-2.02409639,,,,,,,,,,,,,,,,,,,,
1999-08-01,,,,,101.29,-0.35415642,-2.54954782,,,,,,,,,,,,,,,,,,,,
1999-09-01,,,,,100.92,-0.36528779,-2.44562591,,,,,,,,,,,,,,,,,,,,
1999-10-01,,,,,100.87,-0.04954419,-2.64453238,,,,,,,,,,,,,,,,,,,,
1999-11-01,,,,,101.11,0.23793001,-2.51639028,,,,,,,,,,,,,,,,,,,,
1999-12-01,,,,,101.46,0.34615765,-2.09398823,,,,,,,,,,,,,,,,,,,,
2000-01-01,,,,,102.24,0.76877587,-2.44274809,,,,,,,,,,,,,,,,,,,,
2000-02-01,,,,,102.57,0.32276995,-2.20251716,,,,,,,,,,,,,,,,,,,,
2000-03-01,,,,,101.82,-0.73120796,-2.46192164,,,,,,,,,,,,,,,,,,,,
2000-04-01,,,,,101.85,0.02946376,-1.96361536,,,,,,,,,,,,,,,,,,,,
2000-05-01,,,,,102.2,0.34364261,-1.04570101,,,,,,,,,,,,,,,,,,,,
2000-06-01,,,,,102.69,0.47945205,0.46962137,,,,,,,,,,,,,,,,,,,,
2000-07-01,,,,,102.94,0.24345116,1.2690605,,,,,,,,,,,,,,,,,,,,
2000-08-01,,,,,103.32,0.36914708,2.00414651,,,,,,,,,,,,,,,,,,,,
2000-09-01,,,,,103.52,0.19357336,2.57629806,,,,,,,,,,,,,,,,,,,,
2000-10-01,,,,,103.43,-0.08693972,2.5379201,,,,,,,,,,,,,,,,,,,,
2000-11-01,,,,,103.68,0.24170937,2.54178617,,,,,,,,,,,,,,,,,,,,
2000-12-01,,,,,104.0,0.30864198,2.50344964,,,,,,,,,,,,,,,,,,,,
2001-01-01,,,,,105.22,1.17307692,2.91471049,,,,,,,,,,,,,,,,,,,,
2001-02-01,,,,,105.02,-0.19007793,2.38861265,,,,,,,,,,,,,,,,,,,,
2001-03-01,,,,,106.15,1.07598553,4.25260263,,,,,,,,,,,,,,,,,,,,
2001-04-01,,,,,106.88,0.68770608,4.93863525,,,,,,,,,,,,,,,,,,,,
2001-05-01,,,,,106.51,-0.34618263,4.21722114,,,,,,,,,,,,,,,,,,,,
2001-06-01,,,,,106.01,-0.46943949,3.23303145,,,,,,,,,,,,,,,,,,,,
2001-07-01,,,,,106.44,0.40562211,3.40003886,,,,,,,,,,,,,,,,,,,,
2001-08-01,,,,,106.36,-0.07515971,2.94231514,,,,,,,,,,,,,,,,,,,,
2001-09-01,,,,,105.85,-0.47950357,2.2507728,,,,,,,,,,,,,,,,,,,,
2001-10-01,,,,,105.63,-0.20784128,2.12704244,,,,,,,,,,,,,,,,,,,,
2001-11-01,,,,,105.1,-0.5017514,1.36959877,,,,,,,,,,,,,,,,,,,,
2001-12-01,,,,,105.27,0.16175071,1.22115385,,,,,,,,,,,,,,,,,,,,
2002-01-01,,,,,103.91,-1.29191603,-1.24501045,,,,,,,,,,,,,,,,,,,,
2002-02-01,,,,,103.53,-0.36570109,-1.41877738,,,,,,,,,,,,,,,,,,,,
2002-03-01,,,,,103.87,0.32840722,-2.14790391,,,,,,,,,,,,,,,,,,,,
2002-04-01,,,,,104.6,0.70280158,-2.13323353,,,,,,,,,,,,,,,,,,,,
2002-05-01,,,,,104.37,-0.21988528,-2.00920101,,,,,,,,,,,,,,,,,,,,
2002-06-01,,,,,104.65,0.26827632,-1.28289784,,,,,,,,,,,,,,,,,,,,
2002-07-01,,,,,104.29,-0.34400382,-2.01991732,,,,,,,,,,,,,,,,,,,,
2002-08-01,,,,,104.46,0.163007,-1.78638586,,,,,,,,,,,,,,,,,,,,
2002-09-01,,,,,104.97,0.48822516,-0.83136514,,,,,,,,,,,,,,,,,,,,
2002-10-01,,,,,105.15,0.17147757,-0.45441636,,,,,,,,,,,,,,,,,,,,
2002-11-01,,,,,104.9,-0.23775559,-0.19029496,,,,,,,,,,,,,,,,,,,,
2002-12-01,,,,,104.18,-0.68636797,-1.0354327,,,,,,,,,,,,,,,,,,,,
2003-01-01,,,,,108.89,4.52102131,4.79260899,,,,,,,,,,,,,,,,,,,,
2003-02-01,,,,,109.141,0.23050785,5.41968512,,,,,,,,,,,,,,,,,,,,
2003-03-01,,,,,107.337,-1.65290771,3.33782613,,,,,,,,,,,,,,,,,,,,
2003-04-01,,,,,106.889,-0.41737705,2.18833652,,,,,,,,,,,,,,,,,,,,
2003-05-01,,,,,106.283,-0.56694328,1.83290217,,,,,,,,,,,,,,,,,,,,
2003-06-01,,,,,107.04,0.71224937,2.28380315,,,,,,,,,,,,,,,,,,,,
2003-07-01,,,,,107.269,0.21393871,2.85645795,,,,,,,,,,,,,,,,,,,,
2003-08-01,,,,,106.885,-0.35797854,2.32146276,,,,,,,,,,,,,,,,,,,,
