月份,LME铜库存,LME铜注销仓单,LME铝库存,LME铝注销仓单,LME铜库存_变化率,LME铜注销仓单_变化率,LME铝库存_变化率,LME铝注销仓单_变化率
2014-07-01,150900.0,35275.0,4977225.0,2872825.0,,,,
2014-08-01,148150.0,21625.0,4803425.0,2522675.0,-1.8223989396951579,-38.69596031183558,-3.491905630145309,-12.188351187420043
2014-09-01,152550.0,23750.0,4620175.0,2590825.0,2.9699628754640495,9.826589595375722,-3.814986181734903,2.7014974184149665
2014-10-01,162600.0,35900.0,4435525.0,2556850.0,6.588003933136677,51.15789473684211,-3.996601860319149,-1.3113583511043747
2014-11-01,164300.0,22900.0,4324175.0,2304050.0,1.045510455104548,-36.211699164345404,-2.5104130852604767,-9.887165848602775
2014-12-01,177025.0,25125.0,4210275.0,2358075.0,7.744978697504568,9.716157205240172,-2.6340284562951344,2.344784184371007
2015-01-01,248125.0,23125.0,4048900.0,2317325.0,40.163818669679415,-7.960199004975122,-3.8328850253249502,-1.7281044920114952
2015-02-01,296375.0,29850.0,3946650.0,2199625.0,19.44584382871537,29.081081081081074,-2.5253772629603155,-5.079132189054192
2015-03-01,334600.0,82875.0,3951725.0,2063550.0,12.897511598481648,177.63819095477388,0.12859007005940892,-6.186281752571466
2015-04-01,337925.0,85125.0,3822300.0,1801825.0,0.9937238493723743,2.714932126696823,-3.275151990586389,-12.683240047490973
2015-05-01,322150.0,107350.0,3733550.0,1707500.0,-4.668195605533776,26.108663729809113,-2.3219004264448118,-5.234970099759961
2015-06-01,324100.0,60125.0,3582525.0,1601325.0,0.6053080862951976,-43.99161620866325,-4.045077741023961,-6.218155197657394
2015-07-01,346125.0,23675.0,3443850.0,1439150.0,6.795742054921328,-60.623700623700614,-3.870873196976987,-10.127550622141035
2015-08-01,371250.0,56225.0,3276075.0,1264050.0,7.25893824485373,137.4868004223865,-4.871727862711794,-12.166904075322238
2015-09-01,323800.0,80850.0,3187000.0,1064100.0,-12.781144781144782,43.797243219208546,-2.7189548468823266,-15.818203393853093
2015-10-01,267775.0,75725.0,3048100.0,1019250.0,-17.3023471278567,-6.338899196042059,-4.3583307185440905,-4.214829433323941
2015-11-01,244375.0,33925.0,2901475.0,1270325.0,-8.738679861824295,-55.19973588643117,-4.810373675404356,24.633308805494238
2015-12-01,236225.0,40300.0,2895525.0,1079250.0,-3.335038363171361,18.791451731761242,-0.20506811190860175,-15.041426406628222
2016-01-01,242375.0,72725.0,2801450.0,895400.0,2.6034501005397503,80.4590570719603,-3.2489790279828346,-17.034977993977297
2016-02-01,195625.0,45350.0,2760825.0,623225.0,-19.288292934502316,-37.64180130629082,-1.4501418908065444,-30.39702926066562
2016-03-01,144750.0,44075.0,2792000.0,972700.0,-26.00638977635783,-2.811466372657112,1.1291914554526272,56.07525372056641
2016-04-01,149500.0,34275.0,2645725.0,1217000.0,3.2815198618307395,-22.234826999432787,-5.239075931232096,25.11565744833968
2016-05-01,151725.0,48125.0,2529100.0,1132000.0,1.4882943143812666,40.40846097738877,-4.408054503019021,-6.984387838948236
2016-06-01,191525.0,54825.0,2387850.0,1018750.0,26.23166913824353,13.922077922077914,-5.584990708157056,-10.004416961130747
2016-07-01,209450.0,66475.0,2303450.0,969800.0,9.35909150241483,21.249430004559965,-3.5345603785832402,-4.804907975460127
