年份,指标,数值,单位,原始时间,来源
2016,铜矿砂及其精矿进口数量,1696.0,万吨,2016年,国家统计局年度进出口数据
2017,铜矿砂及其精矿进口数量,1735.0,万吨,2017年,国家统计局年度进出口数据
2018,铜矿砂及其精矿进口数量,1970.0,万吨,2018年,国家统计局年度进出口数据
2019,铜矿砂及其精矿进口数量,2198.19,万吨,2019年,国家统计局年度进出口数据
2020,铜矿砂及其精矿进口数量,2175.75,万吨,2020年,国家统计局年度进出口数据
2021,铜矿砂及其精矿进口数量,2340.0,万吨,2021年,国家统计局年度进出口数据
2022,铜矿砂及其精矿进口数量,2523.0,万吨,2022年,国家统计局年度进出口数据
2023,铜矿砂及其精矿进口数量,2753.0,万吨,2023年,国家统计局年度进出口数据
2024,铜矿砂及其精矿进口数量,2809.0,万吨,2024年,国家统计局年度进出口数据
2025,铜矿砂及其精矿进口数量,,万吨,2025年,国家统计局年度进出口数据
2016,铜矿砂及其精矿进口金额,20888.05,百万美元,2016年,国家统计局年度进出口数据
2017,铜矿砂及其精矿进口金额,26385.71,百万美元,2017年,国家统计局年度进出口数据
2018,铜矿砂及其精矿进口金额,31935.15,百万美元,2018年,国家统计局年度进出口数据
2019,铜矿砂及其精矿进口金额,33908.94,百万美元,2019年,国家统计局年度进出口数据
2020,铜矿砂及其精矿进口金额,36472.87,百万美元,2020年,国家统计局年度进出口数据
2021,铜矿砂及其精矿进口金额,56994.71,百万美元,2021年,国家统计局年度进出口数据
2022,铜矿砂及其精矿进口金额,55990.42,百万美元,2022年,国家统计局年度进出口数据
2023,铜矿砂及其精矿进口金额,59895.0,百万美元,2023年,国家统计局年度进出口数据
2024,铜矿砂及其精矿进口金额,67323.52,百万美元,2024年,国家统计局年度进出口数据
2025,铜矿砂及其精矿进口金额,,百万美元,2025年,国家统计局年度进出口数据
