月份,指标,数值,单位,原始时间,来源
2016-01-01,光缆产量当期值,,万芯千米,2016年1月,国家统计局
2016-02-01,光缆产量当期值,,万芯千米,2016年2月,国家统计局
2016-03-01,光缆产量当期值,2456.8,万芯千米,2016年3月,国家统计局
2016-04-01,光缆产量当期值,2636.6,万芯千米,2016年4月,国家统计局
2016-05-01,光缆产量当期值,2883.3,万芯千米,2016年5月,国家统计局
2016-06-01,光缆产量当期值,2717.4,万芯千米,2016年6月,国家统计局
2016-07-01,光缆产量当期值,3075.9,万芯千米,2016年7月,国家统计局
2016-08-01,光缆产量当期值,3007.8,万芯千米,2016年8月,国家统计局
2016-09-01,光缆产量当期值,3032.8,万芯千米,2016年9月,国家统计局
2016-10-01,光缆产量当期值,2764.1,万芯千米,2016年10月,国家统计局
2016-11-01,光缆产量当期值,2952.0,万芯千米,2016年11月,国家统计局
2016-12-01,光缆产量当期值,3278.7,万芯千米,2016年12月,国家统计局
2017-01-01,光缆产量当期值,,万芯千米,2017年1月,国家统计局
2017-02-01,光缆产量当期值,,万芯千米,2017年2月,国家统计局
2017-03-01,光缆产量当期值,2929.2,万芯千米,2017年3月,国家统计局
2017-04-01,光缆产量当期值,3109.4,万芯千米,2017年4月,国家统计局
2017-05-01,光缆产量当期值,3206.8,万芯千米,2017年5月,国家统计局
2017-06-01,光缆产量当期值,3355.5,万芯千米,2017年6月,国家统计局
2017-07-01,光缆产量当期值,2881.1,万芯千米,2017年7月,国家统计局
2017-08-01,光缆产量当期值,3392.8,万芯千米,2017年8月,国家统计局
2017-09-01,光缆产量当期值,3225.7,万芯千米,2017年9月,国家统计局
2017-10-01,光缆产量当期值,3086.7,万芯千米,2017年10月,国家统计局
2017-11-01,光缆产量当期值,3290.5,万芯千米,2017年11月,国家统计局
2017-12-01,光缆产量当期值,2995.6,万芯千米,2017年12月,国家统计局
2018-01-01,光缆产量当期值,,万芯千米,2018年1月,国家统计局
2018-02-01,光缆产量当期值,,万芯千米,2018年2月,国家统计局
2018-03-01,光缆产量当期值,2868.2,万芯千米,2018年3月,国家统计局
2018-04-01,光缆产量当期值,3287.5,万芯千米,2018年4月,国家统计局
2018-05-01,光缆产量当期值,2767.8,万芯千米,2018年5月,国家统计局
2018-06-01,光缆产量当期值,2814.7,万芯千米,2018年6月,国家统计局
2018-07-01,光缆产量当期值,2847.0,万芯千米,2018年7月,国家统计局
2018-08-01,光缆产量当期值,2628.7,万芯千米,2018年8月,国家统计局
2018-09-01,光缆产量当期值,2305.2,万芯千米,2018年9月,国家统计局
2018-10-01,光缆产量当期值,2363.2,万芯千米,2018年10月,国家统计局
2018-11-01,光缆产量当期值,2347.2,万芯千米,2018年11月,国家统计局
2018-12-01,光缆产量当期值,2827.2,万芯千米,2018年12月,国家统计局
2019-01-01,光缆产量当期值,,万芯千米,2019年1月,国家统计局
2019-02-01,光缆产量当期值,,万芯千米,2019年2月,国家统计局
2019-03-01,光缆产量当期值,2295.3,万芯千米,2019年3月,国家统计局
2019-04-01,光缆产量当期值,2100.5,万芯千米,2019年4月,国家统计局
2019-05-01,光缆产量当期值,2281.5,万芯千米,2019年5月,国家统计局
2019-06-01,光缆产量当期值,2465.6,万芯千米,2019年6月,国家统计局
2019-07-01,光缆产量当期值,2503.8,万芯千米,2019年7月,国家统计局
2019-08-01,光缆产量当期值,2492.1,万芯千米,2019年8月,国家统计局
2019-09-01,光缆产量当期值,2771.2,万芯千米,2019年9月,国家统计局
2019-10-01,光缆产量当期值,2393.2,万芯千米,2019年10月,国家统计局
2019-11-01,光缆产量当期值,2536.1,万芯千米,2019年11月,国家统计局
2019-12-01,光缆产量当期值,2756.0,万芯千米,2019年12月,国家统计局
2020-01-01,光缆产量当期值,,万芯千米,2020年1月,国家统计局
2020-02-01,光缆产量当期值,,万芯千米,2020年2月,国家统计局
2020-03-01,光缆产量当期值,2311.2,万芯千米,2020年3月,国家统计局
2020-04-01,光缆产量当期值,2673.1,万芯千米,2020年4月,国家统计局
2020-05-01,光缆产量当期值,2625.4,万芯千米,2020年5月,国家统计局
2020-06-01,光缆产量当期值,2696.7,万芯千米,2020年6月,国家统计局
2020-07-01,光缆产量当期值,2529.9,万芯千米,2020年7月,国家统计局
2020-08-01,光缆产量当期值,2342.1,万芯千米,2020年8月,国家统计局
2020-09-01,光缆产量当期值,2348.0,万芯千米,2020年9月,国家统计局
2020-10-01,光缆产量当期值,2203.0,万芯千米,2020年10月,国家统计局
2020-11-01,光缆产量当期值,2876.8,万芯千米,2020年11月,国家统计局
2020-12-01,光缆产量当期值,2984.3,万芯千米,2020年12月,国家统计局
2021-01-01,光缆产量当期值,,万芯千米,2021年1月,国家统计局
2021-02-01,光缆产量当期值,,万芯千米,2021年2月,国家统计局
2021-03-01,光缆产量当期值,2621.3,万芯千米,2021年3月,国家统计局
2021-04-01,光缆产量当期值,2466.0,万芯千米,2021年4月,国家统计局
2021-05-01,光缆产量当期值,2466.4,万芯千米,2021年5月,国家统计局
2021-06-01,光缆产量当期值,2672.7,万芯千米,2021年6月,国家统计局
2021-07-01,光缆产量当期值,2615.2,万芯千米,2021年7月,国家统计局
2021-08-01,光缆产量当期值,2961.1,万芯千米,2021年8月,国家统计局
2021-09-01,光缆产量当期值,2907.5,万芯千米,2021年9月,国家统计局
2021-10-01,光缆产量当期值,2511.2,万芯千米,2021年10月,国家统计局
2021-11-01,光缆产量当期值,3064.0,万芯千米,2021年11月,国家统计局
2021-12-01,光缆产量当期值,3110.8,万芯千米,2021年12月,国家统计局
2022-01-01,光缆产量当期值,,万芯千米,2022年1月,国家统计局
2022-02-01,光缆产量当期值,,万芯千米,2022年2月,国家统计局
2022-03-01,光缆产量当期值,3018.2,万芯千米,2022年3月,国家统计局
2022-04-01,光缆产量当期值,2598.1,万芯千米,2022年4月,国家统计局
2022-05-01,光缆产量当期值,3217.3,万芯千米,2022年5月,国家统计局
2022-06-01,光缆产量当期值,3153.4,万芯千米,2022年6月,国家统计局
2022-07-01,光缆产量当期值,3275.4,万芯千米,2022年7月,国家统计局
2022-08-01,光缆产量当期值,3340.8,万芯千米,2022年8月,国家统计局
2022-09-01,光缆产量当期值,3277.7,万芯千米,2022年9月,国家统计局
2022-10-01,光缆产量当期值,2959.4,万芯千米,2022年10月,国家统计局
2022-11-01,光缆产量当期值,2670.2,万芯千米,2022年11月,国家统计局
2022-12-01,光缆产量当期值,2430.0,万芯千米,2022年12月,国家统计局
2023-01-01,光缆产量当期值,,万芯千米,2023年1月,国家统计局
2023-02-01,光缆产量当期值,,万芯千米,2023年2月,国家统计局
2023-03-01,光缆产量当期值,3609.7,万芯千米,2023年3月,国家统计局
2023-04-01,光缆产量当期值,2811.9,万芯千米,2023年4月,国家统计局
2023-05-01,光缆产量当期值,3028.9,万芯千米,2023年5月,国家统计局
2023-06-01,光缆产量当期值,3000.6,万芯千米,2023年6月,国家统计局
2023-07-01,光缆产量当期值,2670.9,万芯千米,2023年7月,国家统计局
2023-08-01,光缆产量当期值,2743.1,万芯千米,2023年8月,国家统计局
2023-09-01,光缆产量当期值,2589.8,万芯千米,2023年9月,国家统计局
2023-10-01,光缆产量当期值,2440.0,万芯千米,2023年10月,国家统计局
2023-11-01,光缆产量当期值,2615.4,万芯千米,2023年11月,国家统计局
2023-12-01,光缆产量当期值,2658.7,万芯千米,2023年12月,国家统计局
2024-01-01,光缆产量当期值,,万芯千米,2024年1月,国家统计局
2024-02-01,光缆产量当期值,,万芯千米,2024年2月,国家统计局
2024-03-01,光缆产量当期值,2241.5,万芯千米,2024年3月,国家统计局
2024-04-01,光缆产量当期值,2068.8,万芯千米,2024年4月,国家统计局
2024-05-01,光缆产量当期值,2418.8,万芯千米,2024年5月,国家统计局
2024-06-01,光缆产量当期值,2272.6,万芯千米,2024年6月,国家统计局
2024-07-01,光缆产量当期值,2279.9,万芯千米,2024年7月,国家统计局
2024-08-01,光缆产量当期值,2285.1,万芯千米,2024年8月,国家统计局
2024-09-01,光缆产量当期值,2560.9,万芯千米,2024年9月,国家统计局
2024-10-01,光缆产量当期值,2094.6,万芯千米,2024年10月,国家统计局
2024-11-01,光缆产量当期值,2356.4,万芯千米,2024年11月,国家统计局
2024-12-01,光缆产量当期值,2368.7,万芯千米,2024年12月,国家统计局
2025-01-01,光缆产量当期值,,万芯千米,2025年1月,国家统计局
2025-02-01,光缆产量当期值,,万芯千米,2025年2月,国家统计局
2025-03-01,光缆产量当期值,2289.5,万芯千米,2025年3月,国家统计局
2025-04-01,光缆产量当期值,2131.2,万芯千米,2025年4月,国家统计局
2025-05-01,光缆产量当期值,2238.1,万芯千米,2025年5月,国家统计局
2025-06-01,光缆产量当期值,2478.7,万芯千米,2025年6月,国家统计局
