月份,废铜进口量,废铝进口量,废铜进口量_变化,废铜进口量_环比,废铝进口量_变化,废铝进口量_环比
2024-05-01,198349.177,155427.263,,,,
2024-06-01,169574.256,140396.907,-28774.921000000002,-14.507204635389037,-15030.356,-9.670347215726238
2024-07-01,194672.958,135569.217,25098.70200000002,14.801009653257747,-4827.690000000002,-3.438601393120433
2024-08-01,169546.881,137858.858,-25126.07700000002,-12.906814206829909,2289.6410000000033,1.6889092160206287
2024-09-01,160345.427,132049.324,-9201.453999999998,-5.427085385310038,-5809.534000000014,-4.214117311199561
2024-10-01,183140.711,133117.662,22795.284000000014,14.21636053268922,1068.338000000018,0.8090446566769494
2024-11-01,173534.339,138320.305,-9606.372000000003,-5.245350390716785,5202.642999999982,3.9083040686216153
2024-12-01,217494.663,158090.621,43960.32399999999,25.332348775074422,19770.31600000002,14.293140837131624
2025-01-01,189158.82,158675.68,-28335.842999999993,-13.028293480470365,585.0589999999793,0.37007824771588815
2025-02-01,193353.0,164429.78,4194.179999999993,2.217279638348346,5754.100000000006,3.6263276136582423
2025-03-01,189722.465,183518.102,-3630.5350000000035,-1.877671926476443,19088.322000000015,11.608798600837389
2025-04-01,204747.956,190390.2,15025.491000000009,7.91972157857006,6872.097999999998,3.744643130626968
2025-05-01,185200.905,159700.923,-19547.051000000007,-9.546884560840263,-30689.277000000002,-16.119147414100098
2025-06-01,183244.238,155616.269,-1956.6669999999867,-1.0565104959935234,-4084.6540000000095,-2.557689663446727
2025-07-01,190077.53,160494.606,6833.291999999987,3.7290624112284343,4878.3369999999995,3.1348502514219723
2025-08-01,179359.74,172610.37,-10717.790000000008,-5.638641242865483,12115.763999999996,7.549016320212032
2025-09-01,184079.92,155414.4,4720.180000000022,2.6316831190767997,-17195.97,-9.962304118808163
2025-10-01,196607.27,158360.01,12527.349999999977,6.80538648647826,2945.610000000015,1.8953263018098854
2025-11-01,208143.09,162756.17,11535.820000000007,5.867443253751503,4396.1600000000035,2.776054383931914
2025-12-01,238976.87,194102.07,30833.78,14.813741835003992,31345.899999999994,19.259423467632587
2026-01-01,232331.64,192725.53,-6645.229999999981,-2.780700073609621,-1376.5400000000081,-0.709183575425032
2026-02-01,167937.84,136323.65,-64393.80000000002,-27.716328262478594,-56401.880000000005,-29.265391046012436
2026-03-01,227558.2,197330.69,59620.360000000015,35.50144505848116,61007.04000000001,44.75161866631359
2026-04-01,211724.06,170582.15,-15834.140000000014,-6.958281441846537,-26748.540000000008,-13.555184953744403
2026-05-01,191013.49,152020.9,-20710.570000000007,-9.781868909938717,-18561.25,-10.881120914468479
