月份,废铜进口量,数据项,新闻标题,新闻日期,来源URL,数据来源,废铝进口量
2024-05-01,198349.177,废铜进口量,中国5月废铜进口量同比增加12.43% 分项数据一览,2024-06-20,https://news.smm.cn/news/102812128,SMM新闻/海关统计数据在线查询平台,
2024-06-01,169574.256,废铜进口量,中国6月废铜进口量同比下降0.06% 分项数据一览,2024-07-22,https://news.smm.cn/news/102864895,SMM新闻/海关统计数据在线查询平台,
2024-07-01,194672.958,废铜进口量,海关：中国7月废铜进口量同比上升30.50% 分项数据一览,2024-08-20,https://news.smm.cn/news/102914166,SMM新闻/海关统计数据在线查询平台,
2024-08-01,169546.881,废铜进口量,海关：中国8月废铜进口量环比下降12.63% 分项数据一览,2024-09-20,https://news.smm.cn/news/102962595,SMM新闻/海关统计数据在线查询平台,
2024-09-01,160345.427,废铜进口量,海关：中国9月废铜进口量环比减少5.30% 分项数据一览,2024-10-21,https://news.smm.cn/news/103000259,SMM新闻/海关统计数据在线查询平台,
2024-10-01,183140.711,废铜进口量,海关：中国10月废铜进口量环比增长14.23% 分项数据一览,2024-11-20,https://news.smm.cn/news/103049424,SMM新闻/海关统计数据在线查询平台,
2024-11-01,173534.339,废铜进口量,海关：中国11月废铜进口量同比下降5.12% 分项数据一览,2024-12-20,https://news.smm.cn/news/103099270,SMM新闻/海关统计数据在线查询平台,
2024-12-01,217494.663,废铜进口量,海关总署：中国12月废铜进口量同比增加8.77% 分项数据一览,2025-01-20,https://news.smm.cn/news/103147211,SMM新闻/海关统计数据在线查询平台,
2025-01-01,189158.82,废铜进口量,海关总署：中国1月废铜进口量环比下滑13% 分项数据一览,2025-03-24,https://news.smm.cn/news/103240923,SMM新闻/海关统计数据在线查询平台,
2025-02-01,193353.0,废铜进口量,海关总署：中国2月废铜进口量同比增加27% 分项数据一览,2025-03-24,https://news.smm.cn/news/103240976,SMM新闻/海关统计数据在线查询平台,
2025-03-01,189722.465,废铜进口量,海关总署：中国3月废铜进口量同比减少13.01% 分项数据一览,2025-04-22,https://news.smm.cn/news/103290529,SMM新闻/海关统计数据在线查询平台,
2025-04-01,204747.956,废铜进口量,海关总署：中国4月废铜进口量环比上升7.92% 分项数据一览,2025-05-20,https://news.smm.cn/news/103335308,SMM新闻/海关统计数据在线查询平台,
2025-05-01,185200.905,废铜进口量,海关总署：中国5月废铜进口量同比减少6.53% 分项数据一览,2025-06-20,https://news.smm.cn/news/103388021,SMM新闻/海关统计数据在线查询平台,
2025-06-01,183244.238,废铜进口量,海关总署：中国6月废铜进口量环比下降1.06% 分项数据一览,2025-07-21,https://news.smm.cn/news/103438170,SMM新闻/海关统计数据在线查询平台,
2025-07-01,190077.53,废铜进口量,海关总署：中国7月废铜进口量环比增长3.73% 分项数据一览,2025-08-21,https://news.smm.cn/news/103489573,SMM新闻/海关统计数据在线查询平台,
2025-08-01,179359.74,废铜进口量,海关总署：中国8月废铜进口量环比下降5.64% 分项数据一览,2025-09-22,https://news.smm.cn/news/103542743,SMM新闻/海关统计数据在线查询平台,
2025-09-01,184079.92,废铜进口量,海关总署：中国9月废铜进口量同比增长14.84% 分项数据一览,2025-10-20,https://news.smm.cn/news/103577942,SMM新闻/海关统计数据在线查询平台,
2025-10-01,196607.27,废铜进口量,海关总署：中国10月废铜进口量环比上升6.81% 分项数据一览,2025-11-21,https://news.smm.cn/news/103631812,SMM新闻/海关统计数据在线查询平台,
2025-11-01,208143.09,废铜进口量,海关总署：中国11月废铜进口量同比上升19.99% 分项数据一览,2025-12-23,https://news.smm.cn/news/103684335,SMM新闻/海关统计数据在线查询平台,
2025-12-01,238976.87,废铜进口量,海关总署：中国12月废铜进口量环比上升14.83% 分项数据一览,2026-01-20,https://news.smm.cn/news/103729618,SMM新闻/海关统计数据在线查询平台,
2026-01-01,232331.64,废铜进口量,海关总署：中国1月废铜进口量环比下降2.78% 分项数据一览,2026-03-20,https://news.smm.cn/news/103817904,SMM新闻/海关统计数据在线查询平台,
2026-02-01,167937.84,废铜进口量,海关总署：中国2月废铜进口量环比下降27.72% 分项数据一览,2026-03-20,https://news.smm.cn/news/103817911,SMM新闻/海关统计数据在线查询平台,
2026-03-01,227558.2,废铜进口量,海关总署：中国3月废铜进口量同比上升19.94%，分项数据一览,2026-04-20,https://news.smm.cn/news/103865548,SMM新闻/海关统计数据在线查询平台,
2026-04-01,211724.06,废铜进口量,海关总署：中国4月废铜进口量同比上升3.41%，进出口分项数据一览,2026-05-21,https://news.smm.cn/news/103914711,SMM新闻/海关统计数据在线查询平台,
2026-05-01,191013.49,废铜进口量,海关总署：中国5月废铜进口量同比上升3.14% 进出口分项数据一览,2026-06-20,https://news.smm.cn/news/103963264,SMM新闻/海关统计数据在线查询平台,
2024-05-01,,废铝进口量,中国5月废铝进口量同比增加11.80% 分项数据一览,2024-06-21,https://news.smm.cn/news/102813503,SMM新闻/海关统计数据在线查询平台,155427.263
2024-06-01,,废铝进口量,中国6月废铝进口量同比下降13.66% 分项数据一览,2024-07-23,https://news.smm.cn/news/102865167,SMM新闻/海关统计数据在线查询平台,140396.907
2024-07-01,,废铝进口量,中国7月废铝进口量环比下降3.10% 分项数据一览,2024-08-21,https://news.smm.cn/news/102916320,SMM新闻/海关统计数据在线查询平台,135569.217
2024-08-01,,废铝进口量,中国8月废铝进口量同比下降9.17% 分项数据一览,2024-09-20,https://news.smm.cn/news/102962841,SMM新闻/海关统计数据在线查询平台,137858.858
2024-09-01,,废铝进口量,中国9月废铝进口量环比下降4.14% 分项数据一览,2024-10-22,https://news.smm.cn/news/103000775,SMM新闻/海关统计数据在线查询平台,132049.324
2024-10-01,,废铝进口量,中国10月废铝进口量同比下降13.59% 分项数据一览,2024-11-20,https://news.smm.cn/news/103049326,SMM新闻/海关统计数据在线查询平台,133117.662
2024-11-01,,废铝进口量,中国11月废铝进口量同比减少21.45% 分项数据一览,2024-12-20,https://news.smm.cn/news/103099348,SMM新闻/海关统计数据在线查询平台,138320.305
2024-12-01,,废铝进口量,中国12月废铝进口量同比增加2.45% 分项数据一览,2025-01-21,https://news.smm.cn/news/103147329,SMM新闻/海关统计数据在线查询平台,158090.621
2025-01-01,,废铝进口量,中国1月废铝进口量同比减少7% 分项数据一览,2025-03-24,https://news.smm.cn/news/103241297,SMM新闻/海关统计数据在线查询平台,158675.68
2025-02-01,,废铝进口量,中国2月废铝进口量同比增加40% 分项数据一览,2025-03-24,https://news.smm.cn/news/103241207,SMM新闻/海关统计数据在线查询平台,164429.78
2025-03-01,,废铝进口量,中国3月废铝进口量环比增长11.61% 分项数据一览,2025-04-22,https://news.smm.cn/news/103290229,SMM新闻/海关统计数据在线查询平台,183518.102
2025-04-01,,废铝进口量,中国4月废铝进口量同比增加5.50% 分项数据一览,2025-05-21,https://news.smm.cn/news/103335929,SMM新闻/海关统计数据在线查询平台,190390.2
2025-05-01,,废铝进口量,中国5月废铝进口量环比下降16.10% 分项数据一览,2025-06-23,https://news.smm.cn/news/103388508,SMM新闻/海关统计数据在线查询平台,159700.923
2025-06-01,,废铝进口量,中国6月废铝进口量环比下降2.56% 分项数据一览,2025-07-22,https://news.smm.cn/news/103438761,SMM新闻/海关统计数据在线查询平台,155616.269
2025-07-01,,废铝进口量,中国7月废铝进口量同比增加18.68% 分项数据一览,2025-08-21,https://news.smm.cn/news/103489661,SMM新闻/海关统计数据在线查询平台,160494.606
2025-08-01,,废铝进口量,中国8月废铝进口量环比上升7.55% 分项数据一览,2025-09-22,https://news.smm.cn/news/103542719,SMM新闻/海关统计数据在线查询平台,172610.37
2025-09-01,,废铝进口量,中国9月废铝进口量同比增长17.69% 分项数据一览,2025-10-20,https://news.smm.cn/news/103577943,SMM新闻/海关统计数据在线查询平台,155414.4
2025-10-01,,废铝进口量,中国10月废铝进口量环比增长1.90% 分项数据一览,2025-11-20,https://news.smm.cn/news/103631718,SMM新闻/海关统计数据在线查询平台,158360.01
2025-11-01,,废铝进口量,中国11月废铝进口量环比增长2.78% 分项数据一览,2025-12-23,https://news.smm.cn/news/103684642,SMM新闻/海关统计数据在线查询平台,162756.17
2025-12-01,,废铝进口量,中国12月废铝进口量同比增加22.82% 分项数据一览,2026-01-20,https://news.smm.cn/news/103729790,SMM新闻/海关统计数据在线查询平台,194102.07
2026-01-01,,废铝进口量,中国1月废铝进口量同比上升21.46% 分项数据一览,2026-03-20,https://news.smm.cn/news/103817792,SMM新闻/海关统计数据在线查询平台,192725.53
2026-02-01,,废铝进口量,中国2月废铝进口量同比减少17.09% 分项数据一览,2026-03-20,https://news.smm.cn/news/103817790,SMM新闻/海关统计数据在线查询平台,136323.65
2026-03-01,,废铝进口量,中国3月废铝进口量同比上升7.57% 分项数据一览,2026-04-20,https://news.smm.cn/news/103865536,SMM新闻/海关统计数据在线查询平台,197330.69
2026-04-01,,废铝进口量,中国4月废铝进口量同比下降10.37% 进出口分项数据一览,2026-05-20,https://news.smm.cn/news/103912716,SMM新闻/海关统计数据在线查询平台,170582.15
2026-05-01,,废铝进口量,中国5月废铝进口量同比下降4.81% 进出口分项数据一览,2026-06-22,https://news.smm.cn/news/103963873,SMM新闻/海关统计数据在线查询平台,152020.9
