品种,模型版本,目标变量,变量,标准化系数,影响强度_绝对值,p值,显著性,方向,强弱排名
1#白银,候选全变量模型v2,1#白银_价格月环比,电线电缆光缆及电工器材制造PPI_环比,0.4977975812342099,0.4977975812342099,0.0022302114340273,***,正向,1
1#白银,候选全变量模型v2,1#白银_价格月环比,中国贸易政策不确定性指数_变化,-0.4183055919114375,0.4183055919114375,0.023977993739228,**,负向,2
1#白银,候选全变量模型v2,1#白银_价格月环比,工业增加值同比增长,0.4004640533120847,0.4004640533120847,0.0532385986183001,*,正向,3
1#白银,候选全变量模型v2,1#白银_价格月环比,COVID供应链冲击,0.3924796395989018,0.3924796395989018,0.0020210886952829,***,正向,4
1#白银,候选全变量模型v2,1#白银_价格月环比,中国经济政策不确定性指数_变化,0.3840627768497444,0.3840627768497444,0.0522023206856274,*,正向,5
1#白银,候选全变量模型v2,1#白银_价格月环比,当月出口额环比增长,-0.1772864125331537,0.1772864125331537,0.1628175660912904,不显著,负向,6
1#白银,候选全变量模型v2,1#白银_价格月环比,光缆产量当期值_环比,0.126105277344912,0.126105277344912,0.332663624171441,不显著,正向,7
1#白银,候选全变量模型v2,1#白银_价格月环比,PPI当月同比增长,-0.1209956686538479,0.1209956686538479,0.3799135792992196,不显著,负向,8
1#白银,候选全变量模型v2,1#白银_价格月环比,企业商品价格矿产品环比增长,0.119068655463214,0.119068655463214,0.2998991657123202,不显著,正向,9
1#白银,候选全变量模型v2,1#白银_价格月环比,发电量当期值_环比,-0.1122264070634605,0.1122264070634605,0.3092912486003821,不显著,负向,10
1#白银,候选全变量模型v2,1#白银_价格月环比,制造业PMI_变化,-0.0836517718257096,0.0836517718257096,0.6393820790499354,不显著,负向,11
1#白银,候选全变量模型v2,1#白银_价格月环比,能源价格冲击,0.0590857339568734,0.0590857339568734,0.6025517689793138,不显著,正向,12
1#白银,候选全变量模型v2,1#白银_价格月环比,地缘政治冲击,-0.0540249440318826,0.0540249440318826,0.6705751979196888,不显著,负向,13
1#铜,候选全变量模型v2,1#铜_价格月环比,SHFE铜主连收盘价_环比,0.574335242528781,0.574335242528781,2.8718212560699057e-07,***,正向,1
1#铜,候选全变量模型v2,1#铜_价格月环比,电线电缆光缆及电工器材制造PPI_环比,0.405707865679662,0.405707865679662,0.0010092932383513,***,正向,2
1#铜,候选全变量模型v2,1#铜_价格月环比,工业增加值同比增长,0.348802277830518,0.348802277830518,0.1343397990173004,不显著,正向,3
1#铜,候选全变量模型v2,1#铜_价格月环比,运输扰动冲击,0.2924816585712882,0.2924816585712882,0.0605561109023627,*,正向,4
1#铜,候选全变量模型v2,1#铜_价格月环比,PPI当月同比增长,0.2184446543488671,0.2184446543488671,0.0040924949351332,***,正向,5
1#铜,候选全变量模型v2,1#铜_价格月环比,SHFE铜仓单库存_环比,0.1841442591684825,0.1841442591684825,0.240738242961887,不显著,正向,6
1#铜,候选全变量模型v2,1#铜_价格月环比,中国贸易政策不确定性指数_变化,0.1826919286674507,0.1826919286674507,0.2621902529976511,不显著,正向,7
1#铜,候选全变量模型v2,1#铜_价格月环比,中国经济政策不确定性指数_变化,-0.1342425241431903,0.1342425241431903,0.5784630791358325,不显著,负向,8
1#铜,候选全变量模型v2,1#铜_价格月环比,SHFE铜主连成交量_环比,-0.1270138204368313,0.1270138204368313,0.210774973448548,不显著,负向,9
1#铜,候选全变量模型v2,1#铜_价格月环比,SHFE铜主连持仓量_环比,-0.1062066907957606,0.1062066907957606,0.480269198887027,不显著,负向,10
1#铜,候选全变量模型v2,1#铜_价格月环比,制造业PMI_变化,0.0885563923979171,0.0885563923979171,0.60123071927614,不显著,正向,11
1#铜,候选全变量模型v2,1#铜_价格月环比,企业商品价格矿产品环比增长,0.0816946278944696,0.0816946278944696,0.6261306468543081,不显著,正向,12
1#铜,候选全变量模型v2,1#铜_价格月环比,地缘政治冲击,0.074968731462087,0.074968731462087,0.5866086074558967,不显著,正向,13
1#铜,候选全变量模型v2,1#铜_价格月环比,光缆产量当期值_环比,-0.0577118219953757,0.0577118219953757,0.629864520390224,不显著,负向,14
