品种,目标变量,变量,标准化系数,影响强度_绝对值,p值,显著性,方向,强弱排名
1#白银,1#白银_价格月环比,电线电缆光缆及电工器材制造PPI_环比,0.4977975812342099,0.4977975812342099,0.0022302114340273,***,正向,1
1#白银,1#白银_价格月环比,中国贸易政策不确定性指数_变化,-0.4183055919114375,0.4183055919114375,0.023977993739228,**,负向,2
1#白银,1#白银_价格月环比,工业增加值同比增长,0.4004640533120847,0.4004640533120847,0.0532385986183001,*,正向,3
1#白银,1#白银_价格月环比,COVID供应链冲击,0.3924796395989018,0.3924796395989018,0.0020210886952829,***,正向,4
1#白银,1#白银_价格月环比,中国经济政策不确定性指数_变化,0.3840627768497444,0.3840627768497444,0.0522023206856274,*,正向,5
1#铜,1#铜_价格月环比,SHFE铜主连收盘价_环比,0.574335242528781,0.574335242528781,2.8718212560699057e-07,***,正向,1
1#铜,1#铜_价格月环比,电线电缆光缆及电工器材制造PPI_环比,0.405707865679662,0.405707865679662,0.0010092932383513,***,正向,2
1#铜,1#铜_价格月环比,运输扰动冲击,0.2924816585712882,0.2924816585712882,0.0605561109023627,*,正向,4
1#铜,1#铜_价格月环比,PPI当月同比增长,0.2184446543488671,0.2184446543488671,0.0040924949351332,***,正向,5
A00铝,A00铝_价格月环比,SHFE铝主连收盘价_环比,0.7051192519103089,0.7051192519103089,7.286302451871131e-16,***,正向,1
A00铝,A00铝_价格月环比,环保限产冲击,-0.6970876177098754,0.6970876177098754,3.912532215908229e-07,***,负向,2
A00铝,A00铝_价格月环比,家用电冰箱产量当期值_环比,-0.6562912495528236,0.6562912495528236,0.0005345924667449,***,负向,3
A00铝,A00铝_价格月环比,COVID供应链冲击,-0.5622365523710956,0.5622365523710956,0.0007021147001481,***,负向,4
A00铝,A00铝_价格月环比,房间空气调节器产量当期值_环比,0.4981276194293942,0.4981276194293942,0.0010240068498803,***,正向,5
A00铝,A00铝_价格月环比,中国经济政策不确定性指数_变化,-0.2464832099934683,0.2464832099934683,0.069350987202229,*,负向,7
A00铝,A00铝_价格月环比,房地产开发景气指数环比,-0.2415253204856236,0.2415253204856236,0.0944316660012721,*,负向,8
A00铝,A00铝_价格月环比,企业商品价格煤油电环比增长,0.1878538210293022,0.1878538210293022,0.0191946759859564,**,正向,9
A00铝,A00铝_价格月环比,中国贸易政策不确定性指数_变化,-0.1873611887161347,0.1873611887161347,0.0928600979631778,*,负向,10
ADC12,ADC12_价格月环比,汽车产量当期值_环比,1.0441232001234448,1.0441232001234448,0.0001075082947162,***,正向,1
ADC12,ADC12_价格月环比,汽车销量Top50厂商合计_环比,-0.9234300476736782,0.9234300476736782,9.614776365224378e-05,***,负向,2
ADC12,ADC12_价格月环比,A00铝_价格月环比,0.7469884399680544,0.7469884399680544,3.531054716666389e-17,***,正向,3
ADC12,ADC12_价格月环比,限电政策冲击,0.2042775049890733,0.2042775049890733,0.0766887193413791,*,正向,4
ADC12,ADC12_价格月环比,运输扰动冲击,0.1015178607762512,0.1015178607762512,0.0375219547254535,**,正向,7
ADC12,ADC12_价格月环比,COVID供应链冲击,0.1015178607762511,0.1015178607762511,0.0375219547254539,**,正向,8
ZLD104,ZLD104_价格月环比,A00铝_价格月环比,0.7050118836084193,0.7050118836084193,2.5626343256647037e-56,***,正向,1
ZLD104,ZLD104_价格月环比,PPI当月同比增长,-0.231819238920159,0.231819238920159,4.319003638997619e-07,***,负向,2
ZLD104,ZLD104_价格月环比,发电量当期值_环比,-0.2251005762571081,0.2251005762571081,4.998748268960517e-09,***,负向,3
ZLD104,ZLD104_价格月环比,COVID供应链冲击,0.1810047157368697,0.1810047157368697,3.799959193083498e-07,***,正向,4
ZLD104,ZLD104_价格月环比,中国经济政策不确定性指数_变化,0.1226397347993141,0.1226397347993141,2.961957119630109e-06,***,正向,5
ZLD104,ZLD104_价格月环比,SHFE铝仓单库存_环比,0.0904525147843517,0.0904525147843517,0.0200869454393425,**,正向,6
ZLD104,ZLD104_价格月环比,制造业PMI_变化,0.0685671204214292,0.0685671204214292,0.0482821490744959,**,正向,7
