品种,变量名,本地可得性,可用字段数,可用字段,缺失字段
1#铜,国内电解铜产量,待补充,0,,
1#铜,冶炼厂开工率,待补充,0,,
1#铜,铜精矿进口量,部分可用,1,铜矿砂及其精矿进口数量,
1#铜,SHFE铜库存,可用,1,SHFE铜仓单库存,
1#铜,社会库存,待补充,0,,
1#铜,TC/RC加工费,待补充,0,,
1#铜,铜矿进口成本,部分可用,1,铜矿砂及其精矿进口金额,
1#铜,电网投资完成额,待补充,0,,
1#铜,电线电缆产量,可用替代,2,电线电缆光缆及电工器材制造PPI; 光缆产量当期值,
1#铜,房地产施工面积,待补充,0,,
1#铜,废铜回收量,待补充,0,,
1#铜,精废价差,待补充,0,,
1#铜,限产政策dummy,待补充,0,,
1#铜,重大矿山罢工事件,待补充,0,,
A00铝,电解铝产量,待补充,0,,
A00铝,运行产能利用率,待补充,0,,
A00铝,SHFE铝库存,可用,1,SHFE铝仓单库存,
A00铝,社会库存,待补充,0,,
A00铝,工业电价,待补充,0,,
A00铝,煤炭价格,待补充,0,,
A00铝,氧化铝价格,待补充,0,,
A00铝,再生铝产量,待补充,0,,
A00铝,废铝回收量,待补充,0,,
A00铝,汽车产量,可用,2,汽车产量当期值; 汽车销量Top50厂商合计,
A00铝,家电产量,可用,2,房间空气调节器产量当期值; 家用电冰箱产量当期值,
A00铝,建筑铝型材产量,待补充,0,,
A00铝,限电政策dummy,待补充,0,,
A00铝,环保限产政策,待补充,0,,
1#白银,白银矿产量,待补充,0,,
1#白银,冶炼副产银,待补充,0,,
1#白银,上期所库存,待补充,0,,
1#白银,国内库存,待补充,0,,
1#白银,光伏装机容量,待补充,0,,
1#白银,光伏银浆需求,待补充,0,,
1#白银,电子工业产值,待补充,0,,
1#白银,冶炼成本指数,待补充,0,,
1#白银,地缘政治dummy,待补充,0,,
1#白银,风险事件指数,待补充,0,,
ADC12,再生铝合金产量,待补充,0,,
ADC12,再生铝开工率,待补充,0,,
ADC12,铝合金库存,待补充,0,,
ADC12,ADC12企业库存,待补充,0,,
ADC12,A00铝价格,可用,2,A00铝_月均价; A00铝_价格月环比,
ADC12,废铝回收量,待补充,0,,
ADC12,再生铝比例,待补充,0,,
ADC12,新能源汽车产量,可用,1,新能源汽车产量当期值,
ADC12,汽车零部件产量,待补充,0,,
ADC12,环保督查,待补充,0,,
ADC12,废料进口政策,待补充,0,,
ZLD104,铸造铝合金产量,待补充,0,,
ZLD104,开工率,待补充,0,,
ZLD104,社会库存,待补充,0,,
ZLD104,企业库存,待补充,0,,
ZLD104,A00铝价格,可用,2,A00铝_月均价; A00铝_价格月环比,
ZLD104,能源成本,待补充,0,,
ZLD104,废铝回收量,待补充,0,,
ZLD104,再生料供给,待补充,0,,
ZLD104,工程机械产量,待补充,0,,
ZLD104,工业PMI,待补充,0,,
ZLD104,通用设备产量,待补充,0,,
ZLD104,限产政策,待补充,0,,
ZLD104,运输扰动,待补充,0,,
1#铜,制造业PMI,可用,2,制造业PMI; 制造业PMI_变化,
1#铜,工业增加值同比,可用,1,工业增加值同比增长,
1#铜,房地产开发景气指数,可用,2,房地产开发景气指数; 房地产开发景气指数环比,
1#铜,PPI当月同比,可用,1,PPI当月同比增长,
1#铜,企业商品价格矿产品指数,可用,2,企业商品价格矿产品指数; 企业商品价格矿产品环比增长,
1#铜,当月进口额,可用,2,当月进口额; 当月进口额环比增长,
A00铝,制造业PMI,可用,2,制造业PMI; 制造业PMI_变化,
A00铝,房地产开发景气指数,可用,2,房地产开发景气指数; 房地产开发景气指数环比,
A00铝,PPI当月同比,可用,1,PPI当月同比增长,
A00铝,企业商品价格煤油电指数,可用,2,企业商品价格煤油电指数; 企业商品价格煤油电环比增长,
A00铝,企业商品价格矿产品指数,可用,2,企业商品价格矿产品指数; 企业商品价格矿产品环比增长,
1#白银,制造业PMI,可用,2,制造业PMI; 制造业PMI_变化,
1#白银,工业增加值同比,可用,1,工业增加值同比增长,
1#白银,当月出口额,可用,2,当月出口额; 当月出口额环比增长,
1#白银,PPI当月同比,可用,1,PPI当月同比增长,
1#白银,企业商品价格矿产品指数,可用,2,企业商品价格矿产品指数; 企业商品价格矿产品环比增长,
ADC12,制造业PMI,可用,2,制造业PMI; 制造业PMI_变化,
ADC12,工业增加值同比,可用,1,工业增加值同比增长,
ADC12,PPI当月同比,可用,1,PPI当月同比增长,
ADC12,企业商品价格煤油电指数,可用,2,企业商品价格煤油电指数; 企业商品价格煤油电环比增长,
ZLD104,制造业PMI,可用,2,制造业PMI; 制造业PMI_变化,
ZLD104,非制造业PMI,可用,2,非制造业PMI; 非制造业PMI_变化,
ZLD104,工业增加值同比,可用,1,工业增加值同比增长,
ZLD104,房地产开发景气指数,可用,2,房地产开发景气指数; 房地产开发景气指数环比,
ZLD104,PPI当月同比,可用,1,PPI当月同比增长,
ZLD104,企业商品价格煤油电指数,可用,2,企业商品价格煤油电指数; 企业商品价格煤油电环比增长,
