品种,目标变量,变量,标准化系数,影响强度_绝对值,p值,显著性,回归方向,强弱排名
1#铜,1#铜_价格月环比,SHFE铜主连收盘价_环比,0.566673184538266,0.566673184538266,7.126614797474494e-09,***,正向,1
1#铜,1#铜_价格月环比,电线电缆光缆及电工器材制造PPI_环比,0.3394537529302808,0.3394537529302808,0.003884218934161492,***,正向,2
1#铜,1#铜_价格月环比,PPI当月同比增长,0.18979218780560447,0.18979218780560447,0.032341689165981714,**,正向,3
1#铜,1#铜_价格月环比,SHFE铜主连成交量_环比,-0.17197090014558675,0.17197090014558675,0.06113713689947376,*,负向,4
1#铜,1#铜_价格月环比,中国贸易政策不确定性指数_变化,0.16699660558588442,0.16699660558588442,0.3680451770380415,不显著,正向,5
1#铜,1#铜_价格月环比,SHFE铜仓单库存_环比,0.13204598394938674,0.13204598394938674,0.3236373168053651,不显著,正向,6
1#铜,1#铜_价格月环比,当月进口额环比增长,-0.13117583557852142,0.13117583557852142,0.225354473423935,不显著,负向,7
1#铜,1#铜_价格月环比,工业增加值同比增长,0.12452095665222952,0.12452095665222952,0.2517085512997975,不显著,正向,8
1#铜,1#铜_价格月环比,企业商品价格矿产品环比增长,0.12303615833117276,0.12303615833117276,0.418236508771905,不显著,正向,9
1#铜,1#铜_价格月环比,房地产开发景气指数环比,-0.0916983024223149,0.0916983024223149,0.2906762327316498,不显著,负向,10
1#铜,1#铜_价格月环比,制造业PMI_变化,0.08163524285140615,0.08163524285140615,0.6016156940496954,不显著,正向,11
1#铜,1#铜_价格月环比,中国经济政策不确定性指数_变化,-0.06680430072744284,0.06680430072744284,0.7558903753756776,不显著,负向,12
1#铜,1#铜_价格月环比,SHFE铜主连持仓量_环比,-0.062053120117507896,0.062053120117507896,0.545802523277977,不显著,负向,13
1#铜,1#铜_价格月环比,光缆产量当期值_环比,0.03567534750674467,0.03567534750674467,0.7815367064781681,不显著,正向,14
A00铝,A00铝_价格月环比,汽车产量当期值_环比,0.6897318211392942,0.6897318211392942,0.02141230992706145,**,正向,1
