品种,模型版本,目标变量,变量,标准化系数,影响强度_绝对值,p值,显著性,方向,影响解释,强弱排名
1#铜,候选全变量模型,1#铜_价格月环比,SHFE铜主连收盘价_环比,0.5497132130035389,0.5497132130035389,5.22944955457624e-11,***,正向,统计显著，变量上升时价格月环比倾向于推升。,1
1#铜,候选全变量模型,1#铜_价格月环比,电线电缆光缆及电工器材制造PPI_环比,0.34457002054436875,0.34457002054436875,0.00552966831003254,***,正向,统计显著，变量上升时价格月环比倾向于推升。,2
1#铜,候选全变量模型,1#铜_价格月环比,PPI当月同比增长,0.20946706313223273,0.20946706313223273,0.014048707510064314,**,正向,统计显著，变量上升时价格月环比倾向于推升。,3
1#铜,候选全变量模型,1#铜_价格月环比,企业商品价格矿产品环比增长,0.1784782133609062,0.1784782133609062,0.1672575069083031,不显著,正向,方向仅作参考，当前样本下显著性不足。,4
1#铜,候选全变量模型,1#铜_价格月环比,SHFE铜主连成交量_环比,-0.17105265678969106,0.17105265678969106,0.10303886280907884,不显著,负向,方向仅作参考，当前样本下显著性不足。,5
1#铜,候选全变量模型,1#铜_价格月环比,工业增加值同比增长,0.1526775079394403,0.1526775079394403,0.19268221159980536,不显著,正向,方向仅作参考，当前样本下显著性不足。,6
1#铜,候选全变量模型,1#铜_价格月环比,房地产开发景气指数环比,-0.10247769030718197,0.10247769030718197,0.24632507088733446,不显著,负向,方向仅作参考，当前样本下显著性不足。,7
1#铜,候选全变量模型,1#铜_价格月环比,SHFE铜仓单库存_环比,0.08430906372450014,0.08430906372450014,0.36295281445547256,不显著,正向,方向仅作参考，当前样本下显著性不足。,8
1#铜,候选全变量模型,1#铜_价格月环比,当月进口额环比增长,-0.07455975578090836,0.07455975578090836,0.4657607367635126,不显著,负向,方向仅作参考，当前样本下显著性不足。,9
1#铜,候选全变量模型,1#铜_价格月环比,光缆产量当期值_环比,0.06430731585446639,0.06430731585446639,0.5959187343610173,不显著,正向,方向仅作参考，当前样本下显著性不足。,10
1#铜,候选全变量模型,1#铜_价格月环比,制造业PMI_变化,0.06335851512693169,0.06335851512693169,0.7013615432804636,不显著,正向,方向仅作参考，当前样本下显著性不足。,11
1#铜,候选全变量模型,1#铜_价格月环比,SHFE铜主连持仓量_环比,-0.024250980216500448,0.024250980216500448,0.775799762853418,不显著,负向,方向仅作参考，当前样本下显著性不足。,12
1#铜,核心筛选模型,1#铜_价格月环比,SHFE铜主连收盘价_环比,0.6154845685097722,0.6154845685097722,2.7940510954821524e-12,***,正向,统计显著，变量上升时价格月环比倾向于推升。,1
1#铜,核心筛选模型,1#铜_价格月环比,电线电缆光缆及电工器材制造PPI_环比,0.2778839652123789,0.2778839652123789,0.017634037637126464,**,正向,统计显著，变量上升时价格月环比倾向于推升。,2
1#铜,核心筛选模型,1#铜_价格月环比,SHFE铜仓单库存_环比,0.11396318022921731,0.11396318022921731,0.020584406352237558,**,正向,统计显著，变量上升时价格月环比倾向于推升。,3
1#铜,核心筛选模型,1#铜_价格月环比,企业商品价格矿产品环比增长,0.08483941427859812,0.08483941427859812,0.3907988918770824,不显著,正向,方向仅作参考，当前样本下显著性不足。,4
1#铜,核心筛选模型,1#铜_价格月环比,SHFE铜主连持仓量_环比,-0.0483949436606217,0.0483949436606217,0.5065555268690451,不显著,负向,方向仅作参考，当前样本下显著性不足。,5
1#铜,基本面筛选模型,1#铜_价格月环比,企业商品价格矿产品环比增长,0.31813395361790614,0.31813395361790614,0.05119779721093949,*,正向,弱显著，方向可参考：变量上升时价格月环比倾向于推升。,1
1#铜,基本面筛选模型,1#铜_价格月环比,电线电缆光缆及电工器材制造PPI_环比,0.27750590836426947,0.27750590836426947,0.0408609731283899,**,正向,统计显著，变量上升时价格月环比倾向于推升。,2
1#铜,基本面筛选模型,1#铜_价格月环比,SHFE铜主连持仓量_环比,0.19218519347696267,0.19218519347696267,0.04109216176451597,**,正向,统计显著，变量上升时价格月环比倾向于推升。,3
1#铜,基本面筛选模型,1#铜_价格月环比,SHFE铜仓单库存_环比,0.03187540553386095,0.03187540553386095,0.6171858824132872,不显著,正向,方向仅作参考，当前样本下显著性不足。,4
1#铜,基本面筛选模型,1#铜_价格月环比,工业增加值同比增长,0.01822457786400297,0.01822457786400297,0.8446224203088133,不显著,正向,方向仅作参考，当前样本下显著性不足。,5
A00铝,候选全变量模型,A00铝_价格月环比,SHFE铝主连收盘价_环比,0.5419744869426089,0.5419744869426089,3.5349448125805374e-05,***,正向,统计显著，变量上升时价格月环比倾向于推升。,1
A00铝,候选全变量模型,A00铝_价格月环比,制造业PMI_变化,-0.2831723811963528,0.2831723811963528,0.3207185013140078,不显著,负向,方向仅作参考，当前样本下显著性不足。,2
A00铝,候选全变量模型,A00铝_价格月环比,企业商品价格矿产品环比增长,0.21427439442492674,0.21427439442492674,0.27302368620328465,不显著,正向,方向仅作参考，当前样本下显著性不足。,3
A00铝,候选全变量模型,A00铝_价格月环比,SHFE铝主连成交量_环比,0.21151367525203232,0.21151367525203232,0.009866923173683225,***,正向,统计显著，变量上升时价格月环比倾向于推升。,4
A00铝,候选全变量模型,A00铝_价格月环比,汽车销量Top50厂商合计_环比,0.2065975049122436,0.2065975049122436,0.6579541259610577,不显著,正向,方向仅作参考，当前样本下显著性不足。,5
A00铝,候选全变量模型,A00铝_价格月环比,企业商品价格煤油电环比增长,0.17343708224693177,0.17343708224693177,0.24979918260218736,不显著,正向,方向仅作参考，当前样本下显著性不足。,6
A00铝,候选全变量模型,A00铝_价格月环比,SHFE铝仓单库存_环比,0.0665857651489481,0.0665857651489481,0.7210047422260226,不显著,正向,方向仅作参考，当前样本下显著性不足。,7
A00铝,候选全变量模型,A00铝_价格月环比,房地产开发景气指数环比,0.06455367070721096,0.06455367070721096,0.6427827843316456,不显著,正向,方向仅作参考，当前样本下显著性不足。,8
A00铝,候选全变量模型,A00铝_价格月环比,家用电冰箱产量当期值_环比,-0.05796989447288593,0.05796989447288593,0.6840005913238644,不显著,负向,方向仅作参考，当前样本下显著性不足。,9
A00铝,候选全变量模型,A00铝_价格月环比,PPI当月同比增长,-0.05027686902263054,0.05027686902263054,0.7884447652966716,不显著,负向,方向仅作参考，当前样本下显著性不足。,10
A00铝,候选全变量模型,A00铝_价格月环比,汽车产量当期值_环比,0.030660647112683986,0.030660647112683986,0.9311819625254575,不显著,正向,方向仅作参考，当前样本下显著性不足。,11
A00铝,候选全变量模型,A00铝_价格月环比,房间空气调节器产量当期值_环比,0.020305292098149547,0.020305292098149547,0.914828818498918,不显著,正向,方向仅作参考，当前样本下显著性不足。,12
A00铝,候选全变量模型,A00铝_价格月环比,SHFE铝主连持仓量_环比,-0.009767291466622814,0.009767291466622814,0.945941017769427,不显著,负向,方向仅作参考，当前样本下显著性不足。,13
A00铝,核心筛选模型,A00铝_价格月环比,SHFE铝主连收盘价_环比,0.5172290313611081,0.5172290313611081,3.9885243641442574e-07,***,正向,统计显著，变量上升时价格月环比倾向于推升。,1
A00铝,核心筛选模型,A00铝_价格月环比,企业商品价格煤油电环比增长,0.20288286938999095,0.20288286938999095,0.06659290989006006,*,正向,弱显著，方向可参考：变量上升时价格月环比倾向于推升。,2
A00铝,核心筛选模型,A00铝_价格月环比,房地产开发景气指数环比,-0.1692324710991081,0.1692324710991081,0.00934750149651683,***,负向,统计显著，变量上升时价格月环比倾向于压制。,3
A00铝,核心筛选模型,A00铝_价格月环比,企业商品价格矿产品环比增长,0.13088725299624765,0.13088725299624765,0.2882405689084566,不显著,正向,方向仅作参考，当前样本下显著性不足。,4
A00铝,核心筛选模型,A00铝_价格月环比,SHFE铝主连成交量_环比,0.11918042313157504,0.11918042313157504,0.17298464759125454,不显著,正向,方向仅作参考，当前样本下显著性不足。,5
A00铝,基本面筛选模型,A00铝_价格月环比,房地产开发景气指数环比,-0.2750541712653412,0.2750541712653412,0.02095656092845053,**,负向,统计显著，变量上升时价格月环比倾向于压制。,1
A00铝,基本面筛选模型,A00铝_价格月环比,SHFE铝主连成交量_环比,0.23785226177325625,0.23785226177325625,0.032828655811638296,**,正向,统计显著，变量上升时价格月环比倾向于推升。,2
A00铝,基本面筛选模型,A00铝_价格月环比,企业商品价格矿产品环比增长,0.21832732133360994,0.21832732133360994,0.16009871035721612,不显著,正向,方向仅作参考，当前样本下显著性不足。,3
A00铝,基本面筛选模型,A00铝_价格月环比,企业商品价格煤油电环比增长,0.10186012319642108,0.10186012319642108,0.3006341640007524,不显著,正向,方向仅作参考，当前样本下显著性不足。,4
A00铝,基本面筛选模型,A00铝_价格月环比,SHFE铝仓单库存_环比,0.017080597507751087,0.017080597507751087,0.8445338710263197,不显著,正向,方向仅作参考，当前样本下显著性不足。,5
1#白银,候选全变量模型,1#白银_价格月环比,电线电缆光缆及电工器材制造PPI_环比,0.3175754833428746,0.3175754833428746,0.026619474948235057,**,正向,统计显著，变量上升时价格月环比倾向于推升。,1
1#白银,候选全变量模型,1#白银_价格月环比,企业商品价格矿产品环比增长,0.1955183447246594,0.1955183447246594,0.06761142598357692,*,正向,弱显著，方向可参考：变量上升时价格月环比倾向于推升。,2
1#白银,候选全变量模型,1#白银_价格月环比,PPI当月同比增长,-0.13324555255567067,0.13324555255567067,0.18117729417961592,不显著,负向,方向仅作参考，当前样本下显著性不足。,3
1#白银,候选全变量模型,1#白银_价格月环比,工业增加值同比增长,0.11060346083715877,0.11060346083715877,0.24979880530757415,不显著,正向,方向仅作参考，当前样本下显著性不足。,4
1#白银,候选全变量模型,1#白银_价格月环比,当月出口额环比增长,-0.07393665096045873,0.07393665096045873,0.6299775461713198,不显著,负向,方向仅作参考，当前样本下显著性不足。,5
1#白银,候选全变量模型,1#白银_价格月环比,制造业PMI_变化,-0.04158400745395227,0.04158400745395227,0.7974357915600189,不显著,负向,方向仅作参考，当前样本下显著性不足。,6
1#白银,候选全变量模型,1#白银_价格月环比,光缆产量当期值_环比,0.03575354080782692,0.03575354080782692,0.7972093133240612,不显著,正向,方向仅作参考，当前样本下显著性不足。,7
1#白银,候选全变量模型,1#白银_价格月环比,发电量当期值_环比,0.011414992203653038,0.011414992203653038,0.9271639350148961,不显著,正向,方向仅作参考，当前样本下显著性不足。,8
1#白银,核心筛选模型,1#白银_价格月环比,电线电缆光缆及电工器材制造PPI_环比,0.23473839186331602,0.23473839186331602,0.04255546648456236,**,正向,统计显著，变量上升时价格月环比倾向于推升。,1
1#白银,核心筛选模型,1#白银_价格月环比,企业商品价格矿产品环比增长,0.1987829596089785,0.1987829596089785,0.05397236714492849,*,正向,弱显著，方向可参考：变量上升时价格月环比倾向于推升。,2
1#白银,核心筛选模型,1#白银_价格月环比,PPI当月同比增长,-0.14531046767448674,0.14531046767448674,0.18888464608702138,不显著,负向,方向仅作参考，当前样本下显著性不足。,3
1#白银,核心筛选模型,1#白银_价格月环比,制造业PMI_变化,-0.13542088861494897,0.13542088861494897,0.2264338466551925,不显著,负向,方向仅作参考，当前样本下显著性不足。,4
1#白银,核心筛选模型,1#白银_价格月环比,工业增加值同比增长,0.07945426871711771,0.07945426871711771,0.3634014550658201,不显著,正向,方向仅作参考，当前样本下显著性不足。,5
1#白银,基本面筛选模型,1#白银_价格月环比,电线电缆光缆及电工器材制造PPI_环比,0.23473839186331602,0.23473839186331602,0.04255546648456236,**,正向,统计显著，变量上升时价格月环比倾向于推升。,1
1#白银,基本面筛选模型,1#白银_价格月环比,企业商品价格矿产品环比增长,0.1987829596089785,0.1987829596089785,0.05397236714492849,*,正向,弱显著，方向可参考：变量上升时价格月环比倾向于推升。,2
1#白银,基本面筛选模型,1#白银_价格月环比,PPI当月同比增长,-0.14531046767448674,0.14531046767448674,0.18888464608702138,不显著,负向,方向仅作参考，当前样本下显著性不足。,3
1#白银,基本面筛选模型,1#白银_价格月环比,制造业PMI_变化,-0.13542088861494897,0.13542088861494897,0.2264338466551925,不显著,负向,方向仅作参考，当前样本下显著性不足。,4
1#白银,基本面筛选模型,1#白银_价格月环比,工业增加值同比增长,0.07945426871711771,0.07945426871711771,0.3634014550658201,不显著,正向,方向仅作参考，当前样本下显著性不足。,5
ADC12,候选全变量模型,ADC12_价格月环比,A00铝_价格月环比,0.9018615126548806,0.9018615126548806,1.828426824556357e-23,***,正向,统计显著，变量上升时价格月环比倾向于推升。,1
ADC12,候选全变量模型,ADC12_价格月环比,汽车产量当期值_环比,0.6706299078547029,0.6706299078547029,0.00425013744297277,***,正向,统计显著，变量上升时价格月环比倾向于推升。,2
ADC12,候选全变量模型,ADC12_价格月环比,汽车销量Top50厂商合计_环比,-0.5543323395959052,0.5543323395959052,0.015427844697779636,**,负向,统计显著，变量上升时价格月环比倾向于压制。,3
ADC12,候选全变量模型,ADC12_价格月环比,PPI当月同比增长,0.11536404933302283,0.11536404933302283,0.17348873498638695,不显著,正向,方向仅作参考，当前样本下显著性不足。,4
ADC12,候选全变量模型,ADC12_价格月环比,制造业PMI_变化,-0.1095140759784194,0.1095140759784194,0.336936056640897,不显著,负向,方向仅作参考，当前样本下显著性不足。,5
ADC12,候选全变量模型,ADC12_价格月环比,企业商品价格煤油电环比增长,0.07212911337868036,0.07212911337868036,0.33494353243611463,不显著,正向,方向仅作参考，当前样本下显著性不足。,6
ADC12,候选全变量模型,ADC12_价格月环比,工业增加值同比增长,-0.05122631039332315,0.05122631039332315,0.4750734281793926,不显著,负向,方向仅作参考，当前样本下显著性不足。,7
ADC12,候选全变量模型,ADC12_价格月环比,SHFE铝仓单库存_环比,-0.015331769286960062,0.015331769286960062,0.8118740435691852,不显著,负向,方向仅作参考，当前样本下显著性不足。,8
ADC12,候选全变量模型,ADC12_价格月环比,新能源汽车产量当期值_环比,0.002589151792625255,0.002589151792625255,0.9700175142589543,不显著,正向,方向仅作参考，当前样本下显著性不足。,9
ADC12,核心筛选模型,ADC12_价格月环比,A00铝_价格月环比,0.9032312002192895,0.9032312002192895,5.0867153884127906e-11,***,正向,统计显著，变量上升时价格月环比倾向于推升。,1
ADC12,核心筛选模型,ADC12_价格月环比,汽车产量当期值_环比,0.07613319749730006,0.07613319749730006,0.3401951434268511,不显著,正向,方向仅作参考，当前样本下显著性不足。,2
ADC12,核心筛选模型,ADC12_价格月环比,工业增加值同比增长,-0.05726244094523134,0.05726244094523134,0.4809532229681841,不显著,负向,方向仅作参考，当前样本下显著性不足。,3
ADC12,核心筛选模型,ADC12_价格月环比,新能源汽车产量当期值_环比,0.05144207761659789,0.05144207761659789,0.34422546436320456,不显著,正向,方向仅作参考，当前样本下显著性不足。,4
ADC12,核心筛选模型,ADC12_价格月环比,企业商品价格煤油电环比增长,0.04183034260458589,0.04183034260458589,0.5703212080183018,不显著,正向,方向仅作参考，当前样本下显著性不足。,5
