品种,模型版本,样本量,R2,调整后R2,AIC,BIC,样本起点,样本终点,入模变量数,备注
1#铜,候选全变量模型v2,32,0.7368088343088295,0.41721956168383667,84.09607748198086,110.47932373237593,2021-08,2024-12,17,v2标准化OLS，HAC稳健标准误
1#铜,VIF筛选模型,39,0.6276410215308542,0.528345293939082,90.14922671876207,105.12128153392888,2021-08,2025-10,8,v2标准化OLS，HAC稳健标准误
1#铜,Lasso筛选模型,58,0.6351289916705651,0.6075915570796644,116.12060924926061,126.4228243019927,2021-08,2026-05,4,v2标准化OLS，HAC稳健标准误
1#铜,回收端代理模型,24,0.7070821809174281,0.6631445080550424,46.64033302772683,51.352548349118614,2024-06,2026-05,3,v2标准化OLS，HAC稳健标准误
A00铝,候选全变量模型v2,33,0.871408023398957,0.6570880623972186,67.96328482884779,99.38994361964387,2021-09,2025-10,20,v2标准化OLS，HAC稳健标准误
A00铝,VIF筛选模型,58,0.5843348850030698,0.5164711927586731,131.68009926500946,150.2240863599272,2021-08,2026-05,8,v2标准化OLS，HAC稳健标准误
A00铝,Lasso筛选模型,52,0.5716950111433765,0.49201036205377213,121.47778064120871,139.03897410844155,2021-09,2025-12,8,v2标准化OLS，HAC稳健标准误
A00铝,回收端代理模型,24,0.555863070472155,0.4892425310429783,56.63011285163521,61.34232817302699,2024-06,2026-05,3,v2标准化OLS，HAC稳健标准误
1#白银,候选全变量模型v2,43,0.46971396953664313,0.23199954208755214,122.75214812627293,147.4089497459828,2021-08,2026-05,13,v2标准化OLS，HAC稳健标准误
1#白银,VIF筛选模型,43,0.3450135100402073,0.19089904181437367,121.83366506386878,137.68446610511086,2021-08,2026-05,8,v2标准化OLS，HAC稳健标准误
1#白银,Lasso筛选模型,48,0.27990027752222535,0.1538828260886147,136.45655167782147,151.4261597650846,2021-08,2026-05,7,v2标准化OLS，HAC稳健标准误
ADC12,候选全变量模型v2,33,0.905728036922065,0.8324053989725602,45.71808534821808,68.16569877021529,2021-09,2025-10,15,v2标准化OLS，HAC稳健标准误
ADC12,VIF筛选模型,39,0.8364357644882549,0.7928186350184562,58.0657755558816,73.03783037104841,2021-08,2025-10,8,v2标准化OLS，HAC稳健标准误
ADC12,Lasso筛选模型,43,0.8425507488866694,0.8055038662717681,60.53667408053029,76.38747512177235,2021-08,2026-05,8,v2标准化OLS，HAC稳健标准误
ADC12,回收端代理模型,18,0.7134836016324815,0.6520872305537275,36.58251605892049,40.14400309050515,2024-06,2026-05,3,v2标准化OLS，HAC稳健标准误
ZLD104,候选全变量模型v2,32,0.966902837027768,0.9396463498741652,11.746219370500512,33.73225791249641,2022-06,2025-10,14,v2标准化OLS，HAC稳健标准误
ZLD104,VIF筛选模型,32,0.944494458494217,0.9251881831878577,16.29134880468058,29.48297192987812,2022-06,2025-10,8,v2标准化OLS，HAC稳健标准误
ZLD104,Lasso筛选模型,33,0.9536054189638032,0.9406149362736681,8.321046910263519,20.29310740199536,2022-05,2025-10,7,v2标准化OLS，HAC稳健标准误
ZLD104,回收端代理模型,24,0.8512929322989955,0.8289868721438448,30.370404072718095,35.08261939410988,2024-06,2026-05,3,v2标准化OLS，HAC稳健标准误
