模型,变量,标准化系数,影响强度_绝对值,p值,显著性,方向,强弱排名
铜价模型,美元指数变化,-0.4716488314951555,0.4716488314951555,1.9479206068663643e-05,***,负向,1
铜价模型,10年期美债收益率变化,0.3426821845790333,0.3426821845790333,0.0008010803251277756,***,正向,2
铜价模型,联邦基金利率变化,-0.22247600522124716,0.22247600522124716,0.03387106641216407,**,负向,3
铜价模型,美国工业生产指数变化,0.14864942937465633,0.14864942937465633,0.21562379464694123,不显著,正向,4
铜价模型,VIX变化,-0.1299574484067193,0.1299574484067193,0.18312550734660157,不显著,负向,5
铜价模型,PMI景气度,0.11605645226248969,0.11605645226248969,0.2895644422870845,不显著,正向,6
铜价模型,中国工业增加值同比,0.0679253739957591,0.0679253739957591,0.5160815718964504,不显著,正向,7
铜价模型,Brent原油变化,-0.057024278195480976,0.057024278195480976,0.6241453220308013,不显著,负向,8
铜价模型,货运成本指数变化,-0.037282347329735795,0.037282347329735795,0.7060487598634517,不显著,负向,9
铜价模型,中国PPI同比,-0.0022513440985442003,0.0022513440985442003,0.9816902385186955,不显著,负向,10
铝价模型,Brent原油变化,0.2762016228575383,0.2762016228575383,0.02803240406604228,**,正向,1
铝价模型,联邦基金利率变化,-0.24213064062326972,0.24213064062326972,0.030514064941501787,**,负向,2
铝价模型,中国工业增加值同比,0.19597909275834582,0.19597909275834582,0.08120275267714422,*,正向,3
铝价模型,美元指数变化,-0.1913071841568436,0.1913071841568436,0.09012955332494656,*,负向,4
铝价模型,美国工业生产指数变化,0.10042701554961705,0.10042701554961705,0.43179296512626675,不显著,正向,5
铝价模型,10年期美债收益率变化,0.06784175309368876,0.06784175309368876,0.5215337407911902,不显著,正向,6
铝价模型,VIX变化,-0.0235362112065787,0.0235362112065787,0.8203814619637293,不显著,负向,7
铝价模型,PMI景气度,-0.022036341937659482,0.022036341937659482,0.8500466643417516,不显著,负向,8
铝价模型,中国PPI同比,0.020213565761362354,0.020213565761362354,0.8468575479053054,不显著,正向,9
铝价模型,货运成本指数变化,0.019472826203401947,0.019472826203401947,0.8534535659919208,不显著,正向,10
