date,1#铜_actual,1#铜_pred,A00铝_actual,A00铝_pred,1#白银_actual,1#白银_pred,铝合金ADC12_actual,铝合金ADC12_pred,铸造铝合金锭(ZLD104)_actual,铸造铝合金锭(ZLD104)_pred
2026-04-08,86637.16814159293,85698.00245751438,21734.513274336285,21663.716814159285,16628.3185840708,15906.496673751526,21858.40707964602,21932.973932213474,23008.849557522128,23079.914011289813
2026-04-09,86477.8761061947,85723.44609529164,21592.920353982303,21663.716814159285,16097.345132743365,15882.842952416731,21681.41592920354,21921.216572716166,22654.86725663717,23079.914011289813
2026-04-10,87123.89380530974,85748.89728725566,21716.814159292036,21663.716814159285,16548.672566371682,15860.021569601126,21592.920353982303,21911.291177221825,22300.884955752215,23079.914011289813
2026-04-13,87584.07079646019,85774.35603564899,21637.168141592923,21663.716814159285,16309.734513274338,15838.002148506937,21504.424778761066,21902.911655707587,22212.389380530974,23079.914011289813
2026-04-14,89548.6725663717,85799.82234271542,21902.65486725664,21663.716814159285,16654.86725663717,15816.755493131071,21592.920353982303,21895.83678008899,22300.884955752215,23079.914011289813
2026-04-15,91230.08849557523,85825.29621069893,21902.65486725664,21663.716814159285,17610.61946902655,15796.253537659944,21592.920353982303,21889.863096621564,22300.884955752215,23079.914011289813
2026-04-16,90699.1150442478,85850.77764184424,22212.389380530974,21663.716814159285,17575.221238938055,15776.469298329555,21769.91150442478,21884.81897310147,22566.37168141593,23079.914011289813
2026-04-17,90407.07964601771,85876.26663839712,22265.48672566372,21663.716814159285,17230.088495575223,15757.37682761378,21769.91150442478,21880.5595949042,22566.37168141593,23079.914011289813
2026-04-20,91132.74336283187,85901.76320260359,22044.24778761062,21663.716814159285,17699.11504424779,15738.951170610915,21681.41592920354,21876.96275557089,22389.380530973453,23079.914011289813
2026-04-21,90522.12389380531,85927.26733671031,21831.85840707965,21663.716814159285,17522.12389380531,15721.16832350752,21504.424778761066,21873.92531359932,22212.389380530974,23079.914011289813
2026-04-22,90628.3185840708,85952.77904296509,21920.353982300887,21663.716814159285,17132.74336283186,15704.005194006448,21504.424778761066,21871.360208443435,22300.884955752215,23079.914011289813
2026-04-23,91274.33628318585,85978.2983236158,21929.20353982301,21663.716814159285,17026.548672566372,15687.43956361183,21504.424778761066,21869.193946350144,22300.884955752215,23079.914011289813
2026-04-24,90982.30088495577,86003.82518091156,21902.65486725664,21663.716814159285,16619.469026548675,15671.450051671718,21415.929203539825,21867.364481260905,22212.389380530974,23079.914011289813
2026-04-27,91212.38938053098,86029.35961710171,21955.752212389383,21663.716814159285,16566.37168141593,15656.0160810843,21415.929203539825,21865.8194281312,22212.389380530974,23079.914011289813
2026-04-28,90469.02654867257,86054.90163443628,21654.86725663717,21663.716814159285,16367.256637168142,15641.117845579423,21150.44247787611,21864.514556116646,21946.90265486726,23079.914011289813
2026-04-29,90115.04424778762,86080.45123516639,21663.716814159296,21663.716814159285,15951.32743362832,15626.736278492892,21150.44247787611,21863.412517497578,21946.90265486726,23079.914011289813
2026-04-30,90026.54867256638,86106.00842154323,21584.07079646018,21663.716814159285,15969.026548672568,15612.853022955522,21061.94690265487,21862.48177525444,21858.40707964602,23079.914011289813
2026-05-06,90920.35398230089,86131.5731958193,21707.964601769912,21663.716814159285,16429.20353982301,15599.45040342357,21150.44247787611,21861.69569810047,21946.90265486726,23079.914011289813
2026-05-07,91115.04424778762,86157.14556024729,21283.185840707967,21663.716814159285,17150.44247787611,15586.511398482004,20884.95575221239,21861.031796717678,21592.920353982303,23079.914011289813
2026-05-08,91159.29203539823,86182.72551708051,21433.628318584073,21663.716814159285,17495.575221238938,15574.019614855364,20884.95575221239,21860.471079089344,21681.41592920354,23079.914011289813
2026-05-11,92522.12389380531,86208.3130685735,21584.07079646018,21663.716814159285,17619.469026548675,15561.959262565204,20973.45132743363,21859.997506303764,21858.40707964602,23079.914011289813
2026-05-12,94504.42477876107,86233.9082169809,21575.221238938055,21663.716814159285,18743.36283185841,15550.31513117669,20973.45132743363,21859.597533133023,21858.40707964602,23079.914011289813
2026-05-13,96283.18584070797,86259.5109645581,21743.36283185841,21663.716814159285,18884.95575221239,15539.072567079742,20973.45132743363,21859.259720152848,21946.90265486726,23079.914011289813
2026-05-14,95345.13274336285,86285.1213135616,21778.761061946905,21663.716814159285,18969.02654867257,15528.217451753982,20973.45132743363,21858.97440624386,22035.398230088496,23079.914011289813
2026-05-15,93619.46902654869,86310.73926624791,21566.37168141593,21663.716814159285,17548.672566371682,15517.736180968619,20884.95575221239,21858.73343206066,21858.40707964602,23079.914011289813
2026-05-18,92460.17699115045,86336.36482487491,21283.185840707967,21663.716814159285,16234.513274336285,15507.615644872038,20707.964601769912,21858.529906526997,21592.920353982303,23079.914011289813
2026-05-19,92274.33628318585,86361.99799170061,21415.929203539825,21663.716814159285,16623.893805309737,15497.843208928192,20707.964601769912,21858.35800965508,21725.66371681416,23079.914011289813
2026-05-20,91610.61946902655,86387.63876898373,21469.02654867257,21663.716814159285,15982.300884955754,15488.406695658305,20707.964601769912,21858.212826033767,21725.66371681416,23079.914011289813
2026-05-21,93292.0353982301,86413.28715898411,21584.07079646018,21663.716814159285,16535.398230088496,15479.294367150687,20796.460176991153,21858.09020421163,21814.1592920354,23079.914011289813
2026-05-22,92654.86725663718,86438.9431639618,21548.672566371682,21663.716814159285,16548.672566371682,15470.494908300878,20796.460176991153,21857.986637945363,21814.1592920354,23079.914011289813
2026-05-25,93584.07079646019,86464.60678617754,21513.274336283186,21663.716814159285,16814.1592920354,15461.99741074902,20796.460176991153,21857.89916591191,21814.1592920354,23079.914011289813
2026-05-26,92831.85840707965,86490.27802789318,21309.73451327434,21663.716814159285,16442.477876106197,15453.79135748094,20796.460176991153,21857.82528701188,21725.66371681416,23079.914011289813
2026-05-27,92929.20353982302,86515.95689137062,21584.07079646018,21663.716814159285,16539.82300884956,15445.866608062708,20973.45132743363,21857.762888839712,21902.65486725664,23079.914011289813
2026-05-28,91716.81415929204,86541.64337887308,21362.83185840708,21663.716814159285,15650.442477876108,15438.213384479137,20884.95575221239,21857.710187273075,21681.41592920354,23079.914011289813
2026-05-29,92831.85840707965,86567.33749266395,21424.77876106195,21663.716814159285,16305.309734513276,15430.822257548816,20884.95575221239,21857.665675452183,21681.41592920354,23079.914011289813
2026-06-01,92946.90265486727,86593.03923500732,21407.0796460177,21663.716814159285,16092.920353982303,15423.684133889354,20884.95575221239,21857.628080689643,21681.41592920354,23079.914011289813
